,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,Accuracy_sd,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI
0.16-32-0.4,0.16,32,0.40, 63,190,111,1,0.194,18.95,FALSE,0.16-32-0.4,0.2180,0.6903,0.905,0.00490,0.198,-0.191, 3.29e-01,0.00829,0.0210,0.0539,0.02860,0.000346
0.07-44-0.6,0.07,44,0.60, 85,283,168,1,0.184,20.51,FALSE,0.07-44-0.6,0.1908,0.7400,0.931,0.00240,0.237,-0.193, 4.04e-01,0.00684,0.0174,0.1008,0.02875,0.000316
0.1-48-0.65,0.10,48,0.65, 93,341,204,1,0.171,21.11,FALSE,0.1-48-0.65,0.1932,0.7222,0.920,0.00316,0.233,-0.193, 3.77e-01,0.00694,0.0201,0.1118,0.08504,0.000229
0.1-48-0.7,0.10,48,0.70, 86,327,194,1,0.178,17.24,FALSE,0.1-48-0.7,0.1963,0.7213,0.917,0.00332,0.228,-0.193, 3.76e-01,0.00718,0.0197,0.1118,0.08504,0.000229
0.18-24-0,0.18,24,0.00, 49,141, 82,1,0.228,19.61,FALSE,0.18-24-0,0.2219,0.6590,0.874,0.00693,0.202,-0.191, 2.84e-01,0.00940,0.0283,0.0269,0.01956,0.000529
0.07-60-0.85,0.07,60,0.85, 53,229,135,1,0.253,12.00,FALSE,0.07-60-0.85,0.1961,0.7037,0.894,0.00501,0.231,-0.193, 3.49e-01,0.00900,0.0225,0.1481,0.11194,0.000221
0.1-28-0.85,0.10,28,0.85, 26, 95, 50,1,0.328, 7.73,FALSE,0.1-28-0.85,0.2307,0.6378,0.874,0.00770,0.198,-0.189, 2.54e-01,0.00954,0.0386,0.0307,0.01503,0.000529
0.2-24-0.7,0.20,24,0.70, 40,125, 73,1,0.255,16.12,FALSE,0.2-24-0.7,0.2320,0.6449,0.879,0.00671,0.192,-0.189, 2.64e-01,0.00927,0.0304,0.0251,0.01503,0.000380
0.06-40-0.3,0.06,40,0.30, 74,237,141,1,0.182,23.22,FALSE,0.06-40-0.3,0.1988,0.7256,0.923,0.00310,0.224,-0.193, 3.82e-01,0.00774,0.0181,0.0872,0.02645,0.000368
0.2-24-0.75,0.20,24,0.75, 39,122, 71,1,0.264,15.18,FALSE,0.2-24-0.75,0.2315,0.6496,0.874,0.00714,0.190,-0.189, 2.70e-01,0.00935,0.0280,0.0251,0.01503,0.000380
0.08-44-0.75,0.08,44,0.75, 76,260,149,1,0.198,19.11,FALSE,0.08-44-0.75,0.1947,0.7316,0.929,0.00271,0.231,-0.193, 3.91e-01,0.00686,0.0178,0.1008,0.03993,0.000285
0.2-60-0.85,0.20,60,0.85, 53,242,143,1,0.256,10.07,FALSE,0.2-60-0.85,0.2029,0.6813,0.884,0.00467,0.226,-0.192, 3.16e-01,0.00857,0.0265,0.1481,0.30966,0.000114
0.16-40-0.8,0.16,40,0.80, 55,223,130,1,0.219,10.38,FALSE,0.16-40-0.8,0.1992,0.7008,0.896,0.00450,0.226,-0.193, 3.45e-01,0.00771,0.0223,0.0869,0.05730,0.000284
0.07-48-0,0.07,48,0.00, 92,301,181,1,0.172,23.49,FALSE,0.07-48-0,0.1867,0.7541,0.937,0.00240,0.246,-0.193, 4.26e-01,0.00685,0.0168,0.1118,0.03993,0.000285
0.07-56-0.6,0.07,56,0.60,104,400,239,1,0.170,21.41,FALSE,0.07-56-0.6,0.1709,0.7515,0.916,0.00317,0.269,-0.191, 4.22e-01,0.00660,0.0185,0.1357,0.08504,0.000229
0.16-60-0.85,0.16,60,0.85, 52,234,136,1,0.266,10.96,FALSE,0.16-60-0.85,0.2091,0.6781,0.888,0.00455,0.216,-0.192, 3.11e-01,0.00814,0.0252,0.1481,0.30966,0.000142
0.2-40-0.8,0.20,40,0.80, 50,209,123,1,0.226,10.22,FALSE,0.2-40-0.8,0.2038,0.6834,0.887,0.00457,0.224,-0.192, 3.19e-01,0.00752,0.0251,0.0869,0.05730,0.000221
0.09-44-0.45,0.09,44,0.45, 89,334,198,1,0.176,18.39,FALSE,0.09-44-0.45,0.2000,0.7240,0.929,0.00304,0.223,-0.193, 3.80e-01,0.00674,0.0180,0.1008,0.05730,0.000284
0.06-44-0.3,0.06,44,0.30, 87,289,175,1,0.180,22.44,FALSE,0.06-44-0.3,0.1794,0.7449,0.921,0.00297,0.255,-0.192, 4.12e-01,0.00725,0.0179,0.1008,0.02875,0.000341
0.2-40-0.7,0.20,40,0.70, 71,263,153,1,0.182,15.39,FALSE,0.2-40-0.7,0.1966,0.7148,0.909,0.00332,0.228,-0.193, 3.66e-01,0.00721,0.0201,0.0872,0.08431,0.000209
0.1-36-0.7,0.10,36,0.70, 63,208,118,1,0.199,17.03,FALSE,0.1-36-0.7,0.2081,0.6996,0.907,0.00417,0.212,-0.192, 3.43e-01,0.00801,0.0207,0.0676,0.02765,0.000341
0.16-36-0.85,0.16,36,0.85, 28,105, 57,1,0.315,10.14,FALSE,0.16-36-0.85,0.2236,0.6458,0.855,0.00830,0.206,-0.190, 2.65e-01,0.00964,0.0325,0.0676,0.05567,0.000316
0.08-40-0.8,0.08,40,0.80, 55,196,113,1,0.217,11.27,FALSE,0.08-40-0.8,0.1936,0.7047,0.905,0.00509,0.235,-0.193, 3.50e-01,0.00845,0.0223,0.0869,0.02765,0.000316
0.2-28-0.7,0.20,28,0.70, 50,163, 94,1,0.215,14.14,FALSE,0.2-28-0.7,0.2370,0.6708,0.903,0.00569,0.173,-0.188, 3.01e-01,0.00758,0.0206,0.0384,0.02645,0.000341
0.07-52-0.4,0.07,52,0.40, 99,377,225,1,0.174,21.53,FALSE,0.07-52-0.4,0.1743,0.7526,0.929,0.00287,0.263,-0.192, 4.24e-01,0.00617,0.0176,0.1257,0.05730,0.000275
0.09-48-0.4,0.09,48,0.40, 95,355,212,1,0.168,21.01,FALSE,0.09-48-0.4,0.2036,0.7246,0.930,0.00267,0.218,-0.192, 3.81e-01,0.00684,0.0174,0.1118,0.08504,0.000244
0.09-40-0.7,0.09,40,0.70, 70,235,138,1,0.194,19.03,FALSE,0.09-40-0.7,0.2030,0.7207,0.918,0.00336,0.218,-0.192, 3.75e-01,0.00760,0.0178,0.0872,0.03373,0.000316
0.05-52-0.7,0.05,52,0.70, 89,327,198,1,0.184,19.54,FALSE,0.05-52-0.7,0.1734,0.7567,0.922,0.00356,0.265,-0.192, 4.30e-01,0.00678,0.0171,0.1257,0.03330,0.000341
0.05-48-0.55,0.05,48,0.55, 87,285,172,1,0.167,25.16,FALSE,0.05-48-0.55,0.2003,0.7217,0.923,0.00280,0.222,-0.193, 3.76e-01,0.00706,0.0182,0.1118,0.02860,0.000368
0.06-48-0.7,0.06,48,0.70, 84,290,173,1,0.180,17.62,FALSE,0.06-48-0.7,0.1878,0.7378,0.927,0.00253,0.241,-0.193, 4.01e-01,0.00696,0.0176,0.1118,0.03373,0.000316
0.2-44-0.7,0.20,44,0.70, 80,313,188,1,0.183,15.46,FALSE,0.2-44-0.7,0.1868,0.7266,0.912,0.00330,0.243,-0.193, 3.84e-01,0.00703,0.0195,0.1008,0.09881,0.000182
0.05-44-0,0.05,44,0.00, 83,266,160,1,0.170,25.97,FALSE,0.05-44-0,0.2018,0.7227,0.922,0.00306,0.220,-0.192, 3.78e-01,0.00709,0.0177,0.1008,0.02645,0.000412
0.18-60-0.85,0.18,60,0.85, 52,239,139,1,0.261,10.04,FALSE,0.18-60-0.85,0.2039,0.6791,0.882,0.00438,0.225,-0.192, 3.13e-01,0.00843,0.0258,0.1481,0.30966,0.000142
0.12-44-0.8,0.12,44,0.80, 60,252,147,1,0.216, 8.55,FALSE,0.12-44-0.8,0.2099,0.6954,0.903,0.00360,0.210,-0.192, 3.37e-01,0.00757,0.0207,0.1000,0.05730,0.000284
0.18-40-0.8,0.18,40,0.80, 51,214,126,1,0.224,11.14,FALSE,0.18-40-0.8,0.1988,0.6836,0.880,0.00509,0.233,-0.193, 3.19e-01,0.00785,0.0258,0.0869,0.05730,0.000284
0.18-28-0.75,0.18,28,0.75, 51,164, 94,1,0.221,13.78,FALSE,0.18-28-0.75,0.2361,0.6576,0.899,0.00495,0.179,-0.188, 2.82e-01,0.00790,0.0227,0.0384,0.02645,0.000362
0.05-40-0.55,0.05,40,0.55, 74,232,138,1,0.179,25.51,FALSE,0.05-40-0.55,0.2038,0.7136,0.914,0.00370,0.217,-0.192, 3.64e-01,0.00755,0.0190,0.0872,0.02324,0.000529
0.05-32-0,0.05,32,0.00, 57,160, 99,1,0.208,27.74,FALSE,0.05-32-0,0.1970,0.7100,0.909,0.00618,0.228,-0.193, 3.58e-01,0.00931,0.0204,0.0539,0.01281,0.000637
0.09-48-0.75,0.09,48,0.75, 81,317,186,1,0.186,16.19,FALSE,0.09-48-0.75,0.2062,0.7095,0.919,0.00281,0.214,-0.192, 3.58e-01,0.00719,0.0191,0.1118,0.08504,0.000284
0.14-24-0.7,0.14,24,0.70, 45,135, 77,1,0.241,15.32,FALSE,0.14-24-0.7,0.2231,0.6461,0.865,0.00818,0.207,-0.190, 2.65e-01,0.01000,0.0310,0.0251,0.01956,0.000529
0.09-40-0.75,0.09,40,0.75, 66,224,130,1,0.204,16.12,FALSE,0.09-40-0.75,0.1986,0.7148,0.914,0.00388,0.225,-0.193, 3.66e-01,0.00776,0.0193,0.0872,0.03373,0.000316
0.1-40-0.2,0.10,40,0.20, 76,246,149,1,0.186,21.09,FALSE,0.1-40-0.2,0.1916,0.7146,0.912,0.00350,0.236,-0.193, 3.65e-01,0.00805,0.0204,0.0872,0.03373,0.000316
0.07-56-0,0.07,56,0.00,106,404,241,1,0.167,22.40,FALSE,0.07-56-0,0.1746,0.7428,0.918,0.00320,0.262,-0.192, 4.09e-01,0.00650,0.0184,0.1357,0.08504,0.000229
0.05-32-0.7,0.05,32,0.70, 51,152, 92,1,0.231,22.79,FALSE,0.05-32-0.7,0.2005,0.6934,0.887,0.00739,0.226,-0.193, 3.34e-01,0.00970,0.0222,0.0539,0.01271,0.000637
0.08-40-0.5,0.08,40,0.50, 77,252,148,1,0.184,20.15,FALSE,0.08-40-0.5,0.1878,0.7426,0.928,0.00268,0.242,-0.193, 4.08e-01,0.00696,0.0166,0.0872,0.02860,0.000316
0.08-44-0.5,0.08,44,0.50, 87,292,172,1,0.179,21.27,FALSE,0.08-44-0.5,0.1908,0.7429,0.932,0.00239,0.238,-0.193, 4.09e-01,0.00670,0.0164,0.1008,0.03993,0.000285
0.09-48-0.2,0.09,48,0.20, 96,356,213,1,0.166,21.96,FALSE,0.09-48-0.2,0.2017,0.7225,0.927,0.00265,0.220,-0.192, 3.77e-01,0.00694,0.0172,0.1118,0.08504,0.000244
0.14-40-0.75,0.14,40,0.75, 70,261,151,1,0.185,13.35,FALSE,0.14-40-0.75,0.2034,0.6998,0.902,0.00389,0.219,-0.192, 3.43e-01,0.00721,0.0205,0.0872,0.05730,0.000284
0.16-52-0.85,0.16,52,0.85, 44,194,112,1,0.282, 9.92,FALSE,0.16-52-0.85,0.1821,0.6804,0.864,0.00670,0.268,-0.192, 3.14e-01,0.00890,0.0330,0.1256,0.15658,0.000182
0.12-40-0.75,0.12,40,0.75, 69,251,150,1,0.189,15.18,FALSE,0.12-40-0.75,0.1789,0.7175,0.889,0.00523,0.258,-0.192, 3.70e-01,0.00780,0.0216,0.0872,0.05567,0.000284
0.1-28-0.65,0.10,28,0.65, 54,165, 92,1,0.227,18.92,FALSE,0.1-28-0.65,0.2270,0.6673,0.897,0.00525,0.190,-0.190, 2.95e-01,0.00792,0.0219,0.0384,0.01956,0.000412
0.05-56-0.55,0.05,56,0.55,102,358,220,1,0.168,23.57,FALSE,0.05-56-0.55,0.1659,0.7553,0.922,0.00305,0.277,-0.191, 4.28e-01,0.00645,0.0176,0.1292,0.04174,0.000316
0.07-48-0.65,0.07,48,0.65, 90,298,178,1,0.176,22.52,FALSE,0.07-48-0.65,0.1799,0.7457,0.927,0.00289,0.254,-0.192, 4.13e-01,0.00684,0.0170,0.1118,0.03993,0.000285
0.08-44-0.7,0.08,44,0.70, 80,272,156,1,0.187,21.09,FALSE,0.08-44-0.7,0.1958,0.7402,0.934,0.00283,0.231,-0.193, 4.04e-01,0.00666,0.0161,0.1008,0.03993,0.000285
0.07-52-0.75,0.07,52,0.75, 87,349,203,1,0.190,15.60,FALSE,0.07-52-0.75,0.1788,0.7489,0.925,0.00277,0.256,-0.192, 4.18e-01,0.00633,0.0167,0.1257,0.05730,0.000284
0.14-40-0.8,0.14,40,0.80, 56,222,128,1,0.216,10.31,FALSE,0.14-40-0.8,0.2072,0.6791,0.879,0.00570,0.219,-0.192, 3.13e-01,0.00845,0.0238,0.0869,0.05730,0.000284
0.18-40-0.65,0.18,40,0.65, 79,281,164,1,0.169,17.44,FALSE,0.18-40-0.65,0.2031,0.7100,0.912,0.00273,0.218,-0.192, 3.58e-01,0.00702,0.0188,0.0872,0.08431,0.000229
0.12-48-0.8,0.12,48,0.80, 64,271,164,1,0.210, 9.51,FALSE,0.12-48-0.8,0.1847,0.7090,0.894,0.00427,0.250,-0.193, 3.57e-01,0.00823,0.0219,0.1118,0.09881,0.000221
0.14-40-0.7,0.14,40,0.70, 74,273,160,1,0.177,16.10,FALSE,0.14-40-0.7,0.2066,0.6972,0.903,0.00292,0.215,-0.192, 3.39e-01,0.00723,0.0202,0.0872,0.05730,0.000284
0.05-36-0,0.05,36,0.00, 67,196,113,1,0.179,27.13,FALSE,0.05-36-0,0.1964,0.7056,0.905,0.00566,0.230,-0.193, 3.52e-01,0.00739,0.0204,0.0676,0.01914,0.000537
0.07-48-0.6,0.07,48,0.60, 91,300,180,1,0.174,22.52,FALSE,0.07-48-0.6,0.1707,0.7530,0.925,0.00309,0.269,-0.191, 4.24e-01,0.00700,0.0171,0.1118,0.03993,0.000285
0.06-48-0.55,0.06,48,0.55, 89,298,180,1,0.174,20.57,FALSE,0.06-48-0.55,0.1846,0.7435,0.927,0.00300,0.247,-0.193, 4.10e-01,0.00696,0.0165,0.1118,0.03373,0.000316
0.06-28-0.4,0.06,28,0.40, 52,158, 95,1,0.230,23.21,FALSE,0.06-28-0.4,0.2126,0.6637,0.883,0.00802,0.217,-0.192, 2.90e-01,0.00915,0.0259,0.0384,0.01271,0.000558
0.12-40-0,0.12,40,0.00, 79,272,168,1,0.170,20.84,FALSE,0.12-40-0,0.1886,0.7110,0.901,0.00414,0.242,-0.193, 3.60e-01,0.00769,0.0207,0.0872,0.05567,0.000275
0.06-28-0.85,0.06,28,0.85, 23, 81, 44,1,0.359, 6.78,FALSE,0.06-28-0.85,0.2162,0.6263,0.816,0.01308,0.235,-0.191, 2.38e-01,0.01266,0.0419,0.0307,0.00837,0.000623
0.05-44-0.7,0.05,44,0.70, 76,257,152,1,0.185,20.17,FALSE,0.05-44-0.7,0.2007,0.7226,0.922,0.00348,0.222,-0.193, 3.77e-01,0.00717,0.0170,0.1008,0.02645,0.000412
0.05-56-0.65,0.05,56,0.65, 98,353,215,1,0.174,20.63,FALSE,0.05-56-0.65,0.1691,0.7492,0.918,0.00284,0.271,-0.191, 4.18e-01,0.00650,0.0176,0.1292,0.04174,0.000316
0.12-36-0.8,0.12,36,0.80, 48,171, 96,1,0.237, 9.43,FALSE,0.12-36-0.8,0.2059,0.6838,0.891,0.00545,0.220,-0.192, 3.19e-01,0.00842,0.0223,0.0676,0.02765,0.000316
0.16-36-0.8,0.16,36,0.80, 49,186,109,1,0.232,10.33,FALSE,0.16-36-0.8,0.2446,0.5875,0.828,0.00584,0.211,-0.186, 1.85e-01,0.00940,0.0422,0.0676,0.05567,0.000316
0.07-36-0.8,0.07,36,0.80, 50,172, 97,1,0.223,12.90,FALSE,0.07-36-0.8,0.2046,0.6688,0.874,0.00782,0.229,-0.192, 2.98e-01,0.00923,0.0261,0.0676,0.02506,0.000368
0.05-44-0.6,0.05,44,0.60, 81,264,159,1,0.174,24.04,FALSE,0.05-44-0.6,0.1926,0.7246,0.919,0.00320,0.234,-0.193, 3.81e-01,0.00736,0.0176,0.1008,0.02645,0.000412
0.1-36-0.75,0.10,36,0.75, 62,205,116,1,0.204,16.09,FALSE,0.1-36-0.75,0.2063,0.6860,0.901,0.00461,0.218,-0.192, 3.23e-01,0.00781,0.0219,0.0676,0.02765,0.000341
0.05-32-0.65,0.05,32,0.65, 53,156, 96,1,0.224,23.86,FALSE,0.05-32-0.65,0.1973,0.6921,0.891,0.00692,0.232,-0.193, 3.32e-01,0.00982,0.0221,0.0539,0.01271,0.000637
0.06-44-0.55,0.06,44,0.55, 85,286,172,1,0.183,20.49,FALSE,0.06-44-0.55,0.1880,0.7403,0.927,0.00261,0.241,-0.193, 4.05e-01,0.00698,0.0162,0.1008,0.02875,0.000341
0.2-48-0.85,0.20,48,0.85, 41,175,104,1,0.261, 9.91,FALSE,0.2-48-0.85,0.2032,0.6290,0.831,0.00526,0.260,-0.192, 2.41e-01,0.00964,0.0383,0.1118,0.11194,0.000173
0.18-48-0.85,0.18,48,0.85, 40,170, 99,1,0.266, 9.88,FALSE,0.18-48-0.85,0.2178,0.6193,0.844,0.00542,0.237,-0.191, 2.28e-01,0.00907,0.0366,0.1118,0.11194,0.000182
0.05-32-0.6,0.05,32,0.60, 55,158, 98,1,0.216,25.79,FALSE,0.05-32-0.6,0.1936,0.6893,0.886,0.00807,0.240,-0.193, 3.28e-01,0.01008,0.0236,0.0539,0.01271,0.000637
0.18-24-0.8,0.18,24,0.80, 31,107, 64,1,0.310,10.38,FALSE,0.18-24-0.8,0.2288,0.5919,0.812,0.01030,0.239,-0.190, 1.91e-01,0.01008,0.0425,0.0251,0.01503,0.000529
0.08-44-0.8,0.08,44,0.80, 61,225,132,1,0.214,11.36,FALSE,0.08-44-0.8,0.1940,0.7070,0.901,0.00469,0.234,-0.193, 3.54e-01,0.00843,0.0200,0.1000,0.03993,0.000285
0.06-52-0.7,0.06,52,0.70, 91,346,211,1,0.180,17.61,FALSE,0.06-52-0.7,0.1775,0.7451,0.921,0.00329,0.258,-0.192, 4.12e-01,0.00663,0.0168,0.1257,0.05567,0.000287
0.06-48-0.8,0.06,48,0.80, 60,226,134,1,0.214, 9.60,FALSE,0.06-48-0.8,0.1924,0.7144,0.901,0.00481,0.235,-0.193, 3.65e-01,0.00845,0.0193,0.1118,0.03373,0.000316
0.2-24-0.8,0.20,24,0.80, 30,104, 62,1,0.314,10.36,FALSE,0.2-24-0.8,0.2362,0.5969,0.832,0.00971,0.219,-0.188, 1.98e-01,0.00975,0.0358,0.0251,0.01503,0.000380
0.14-24-0.75,0.14,24,0.75, 44,132, 75,1,0.249,14.41,FALSE,0.14-24-0.75,0.2187,0.6438,0.856,0.00852,0.217,-0.191, 2.62e-01,0.01002,0.0287,0.0251,0.01956,0.000529
0.07-40-0.8,0.07,40,0.80, 55,199,116,1,0.216, 9.59,FALSE,0.07-40-0.8,0.1836,0.7022,0.887,0.00592,0.254,-0.192, 3.47e-01,0.00893,0.0224,0.0869,0.02645,0.000362
0.14-36-0,0.14,36,0.00, 69,218,129,1,0.178,19.74,FALSE,0.14-36-0,0.2035,0.6942,0.895,0.00509,0.221,-0.192, 3.35e-01,0.00855,0.0203,0.0676,0.03993,0.000316
0.05-44-0.85,0.05,44,0.85, 42,147, 77,1,0.253,14.33,FALSE,0.05-44-0.85,0.2237,0.6447,0.870,0.00558,0.207,-0.190, 2.63e-01,0.00774,0.0270,0.0955,0.01503,0.000529
0.1-32-0.8,0.10,32,0.80, 44,146, 83,1,0.251,14.52,FALSE,0.1-32-0.8,0.2196,0.6403,0.861,0.00728,0.217,-0.191, 2.57e-01,0.00945,0.0296,0.0539,0.02506,0.000368
0.16-44-0.85,0.16,44,0.85, 36,152, 88,1,0.294, 9.73,FALSE,0.16-44-0.85,0.2170,0.6476,0.859,0.00525,0.218,-0.191, 2.67e-01,0.00811,0.0279,0.1000,0.09140,0.000221
0.1-36-0.8,0.10,36,0.80, 49,174,101,1,0.231,10.26,FALSE,0.1-36-0.8,0.2011,0.6723,0.874,0.00686,0.234,-0.193, 3.03e-01,0.00923,0.0251,0.0676,0.02765,0.000362
0.06-28-0.65,0.06,28,0.65, 50,156, 93,1,0.235,21.25,FALSE,0.06-28-0.65,0.2095,0.6701,0.880,0.00742,0.219,-0.192, 3.00e-01,0.00910,0.0239,0.0384,0.01271,0.000558
0.16-32-0,0.16,32,0.00, 64,191,112,1,0.191,19.90,FALSE,0.16-32-0,0.2169,0.6900,0.905,0.00472,0.200,-0.191, 3.29e-01,0.00837,0.0191,0.0539,0.02860,0.000346
0.07-56-0.4,0.07,56,0.40,105,403,240,1,0.168,21.43,FALSE,0.07-56-0.4,0.1772,0.7432,0.921,0.00310,0.258,-0.192, 4.09e-01,0.00638,0.0169,0.1357,0.08504,0.000229
0.09-44-0.8,0.09,44,0.80, 60,250,145,1,0.219, 9.43,FALSE,0.09-44-0.8,0.2036,0.6993,0.903,0.00482,0.219,-0.192, 3.42e-01,0.00796,0.0194,0.1000,0.05730,0.000284
0.05-56-0,0.05,56,0.00,104,360,221,1,0.166,25.52,FALSE,0.05-56-0,0.1716,0.7522,0.922,0.00279,0.267,-0.191, 4.23e-01,0.00639,0.0164,0.1292,0.04174,0.000316
0.05-60-0.2,0.05,60,0.20,111,413,252,1,0.167,28.13,FALSE,0.05-60-0.2,0.1704,0.7602,0.926,0.00315,0.270,-0.191, 4.36e-01,0.00642,0.0158,0.1535,0.05730,0.000316
0.2-36-0.8,0.20,36,0.80, 45,179,107,1,0.236,10.14,FALSE,0.2-36-0.8,0.2080,0.5995,0.816,0.00635,0.278,-0.192, 2.01e-01,0.00877,0.0401,0.0676,0.05567,0.000284
0.16-44-0.8,0.16,44,0.80, 60,255,154,1,0.223,10.42,FALSE,0.16-44-0.8,0.1809,0.7001,0.884,0.00456,0.260,-0.192, 3.44e-01,0.00800,0.0235,0.1000,0.09140,0.000221
0.06-40-0.55,0.06,40,0.55, 72,234,138,1,0.186,21.28,FALSE,0.06-40-0.55,0.1924,0.7228,0.921,0.00445,0.234,-0.193, 3.78e-01,0.00766,0.0174,0.0872,0.02645,0.000368
0.18-36-0.8,0.18,36,0.80, 47,185,111,1,0.231,11.12,FALSE,0.18-36-0.8,0.2030,0.6037,0.802,0.00681,0.285,-0.192, 2.07e-01,0.00914,0.0375,0.0676,0.05567,0.000284
0.05-60-0,0.05,60,0.00,112,414,252,1,0.166,29.10,FALSE,0.05-60-0,0.1689,0.7605,0.924,0.00272,0.273,-0.191, 4.36e-01,0.00644,0.0157,0.1535,0.05730,0.000316
0.2-28-0.8,0.20,28,0.80, 37,132, 76,1,0.272,10.73,FALSE,0.2-28-0.8,0.2289,0.6076,0.840,0.00875,0.224,-0.189, 2.12e-01,0.00879,0.0316,0.0384,0.02645,0.000362
0.14-44-0.75,0.14,44,0.75, 80,313,186,1,0.189,13.46,FALSE,0.14-44-0.75,0.1766,0.7258,0.899,0.00416,0.260,-0.192, 3.82e-01,0.00736,0.0193,0.1008,0.09140,0.000229
0.05-52-0.55,0.05,52,0.55, 95,336,207,1,0.175,23.47,FALSE,0.05-52-0.55,0.1756,0.7422,0.916,0.00300,0.261,-0.192, 4.08e-01,0.00669,0.0169,0.1257,0.03330,0.000341
0.16-24-0.8,0.16,24,0.80, 33,111, 64,1,0.309,10.55,FALSE,0.16-24-0.8,0.2176,0.5997,0.809,0.01069,0.256,-0.191, 2.01e-01,0.01063,0.0346,0.0251,0.01503,0.000529
0.1-52-0.65,0.10,52,0.65, 97,387,238,1,0.177,20.14,FALSE,0.1-52-0.65,0.1642,0.7458,0.910,0.00309,0.280,-0.190, 4.13e-01,0.00729,0.0177,0.1257,0.11194,0.000209
0.06-44-0.7,0.06,44,0.70, 80,278,165,1,0.190,17.54,FALSE,0.06-44-0.7,0.1801,0.7410,0.922,0.00268,0.253,-0.192, 4.06e-01,0.00720,0.0165,0.1008,0.02875,0.000341
0.09-40-0.8,0.09,40,0.80, 50,182,105,1,0.235, 9.35,FALSE,0.09-40-0.8,0.1950,0.6924,0.891,0.00640,0.236,-0.193, 3.32e-01,0.00893,0.0212,0.0869,0.03373,0.000316
