,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,Accuracy_sd,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI
0.14-20-0.75,0.14,20,0.75, 30, 87, 58,1,0.257,11.63,FALSE,0.14-20-0.75,0.1934,0.3993,0.609,0.01428,0.653,-0.193,-2.82e-02,0.01512,0.0305,0.0219,0.01271,0.000623
0.12-40-0.65,0.12,40,0.65, 77,269,166,1,0.174,19.11,FALSE,0.12-40-0.65,0.1841,0.7170,0.903,0.00377,0.249,-0.193, 3.69e-01,0.00791,0.0170,0.0872,0.05567,0.000284
0.07-56-0.7,0.07,56,0.70, 99,389,233,1,0.174,20.38,FALSE,0.07-56-0.7,0.1691,0.7380,0.907,0.00364,0.272,-0.191, 4.01e-01,0.00691,0.0163,0.1292,0.08504,0.000229
0.1-52-0.75,0.10,52,0.75, 87,363,220,1,0.190,15.28,FALSE,0.1-52-0.75,0.1633,0.7326,0.896,0.00419,0.284,-0.190, 3.93e-01,0.00778,0.0175,0.1257,0.11194,0.000209
0.2-48-0.75,0.20,48,0.75, 82,336,207,1,0.183,14.51,FALSE,0.2-48-0.75,0.1741,0.7251,0.903,0.00405,0.265,-0.192, 3.81e-01,0.00734,0.0171,0.1118,0.12388,0.000173
0.18-48-0.3,0.18,48,0.30, 93,353,216,1,0.169,18.53,FALSE,0.18-48-0.3,0.1747,0.7275,0.902,0.00285,0.264,-0.192, 3.85e-01,0.00741,0.0167,0.1118,0.12388,0.000179
0.08-56-0.85,0.08,56,0.85, 54,245,146,1,0.260,10.16,FALSE,0.08-56-0.85,0.1793,0.7031,0.879,0.00591,0.262,-0.192, 3.48e-01,0.00930,0.0198,0.1256,0.11194,0.000221
0.16-48-0.65,0.16,48,0.65, 91,351,215,1,0.172,16.58,FALSE,0.16-48-0.65,0.1641,0.7426,0.903,0.00407,0.280,-0.190, 4.08e-01,0.00734,0.0164,0.1118,0.12388,0.000197
0.16-48-0.85,0.16,48,0.85, 39,166, 97,1,0.279, 9.83,FALSE,0.16-48-0.85,0.2147,0.6299,0.845,0.00450,0.235,-0.191, 2.43e-01,0.00907,0.0244,0.1118,0.11194,0.000197
0.14-36-0.4,0.14,36,0.40, 68,217,128,1,0.180,18.79,FALSE,0.14-36-0.4,0.2034,0.6970,0.895,0.00523,0.220,-0.192, 3.39e-01,0.00860,0.0168,0.0676,0.03993,0.000316
0.05-36-0.8,0.05,36,0.80, 42,149, 87,1,0.241,10.95,FALSE,0.05-36-0.8,0.1840,0.6397,0.821,0.00847,0.294,-0.192, 2.56e-01,0.00852,0.0248,0.0676,0.01503,0.000537
0.05-24-0.8,0.05,24,0.80, 26, 90, 62,1,0.343, 9.37,FALSE,0.05-24-0.8,0.1519,0.3901,0.545,0.01372,0.812,-0.188,-3.67e-02,0.01765,0.0308,0.0269,0.00973,0.000847
0.16-36-0.65,0.16,36,0.65, 69,231,137,1,0.177,17.32,FALSE,0.16-36-0.65,0.2199,0.6607,0.879,0.00302,0.205,-0.191, 2.86e-01,0.00775,0.0200,0.0676,0.05567,0.000316
0.12-12-0.7,0.12,12,0.70, 24, 58, 43,1,0.253,12.61,FALSE,0.12-12-0.7,0.1290,0.3303,0.489,0.02413,1.047,-0.181,-8.60e-02,0.02469,0.0317,0.0135,0.00561,0.000747
0.18-48-0,0.18,48,0.00, 94,354,217,1,0.168,19.51,FALSE,0.18-48-0,0.1669,0.7425,0.909,0.00344,0.275,-0.191, 4.08e-01,0.00700,0.0157,0.1118,0.12388,0.000179
0.18-36-0,0.18,36,0.00, 71,236,142,1,0.172,19.25,FALSE,0.18-36-0,0.2009,0.6632,0.869,0.00460,0.240,-0.193, 2.90e-01,0.00809,0.0221,0.0676,0.05567,0.000284
0.09-56-0.85,0.09,56,0.85, 48,215,126,1,0.260, 9.98,FALSE,0.09-56-0.85,0.1652,0.7055,0.867,0.00604,0.290,-0.191, 3.52e-01,0.00975,0.0209,0.1292,0.11194,0.000197
0.06-60-0.3,0.06,60,0.30,113,443,277,1,0.166,28.10,FALSE,0.06-60-0.3,0.1432,0.7658,0.913,0.00428,0.318,-0.186, 4.45e-01,0.00676,0.0158,0.1535,0.09140,0.000244
0.06-24-0.7,0.06,24,0.70, 37,115, 78,1,0.266,16.01,FALSE,0.06-24-0.7,0.1505,0.5350,0.700,0.01489,0.525,-0.188, 1.19e-01,0.01368,0.0262,0.0269,0.00973,0.000639
0.07-60-0.65,0.07,60,0.65,111,440,272,1,0.168,25.20,FALSE,0.07-60-0.65,0.1391,0.7729,0.910,0.00403,0.325,-0.184, 4.56e-01,0.00713,0.0151,0.1535,0.11194,0.000203
0.12-52-0.85,0.12,52,0.85, 48,208,120,1,0.269,10.05,FALSE,0.12-52-0.85,0.1610,0.7234,0.886,0.00438,0.291,-0.190, 3.79e-01,0.00835,0.0190,0.1256,0.11194,0.000182
0.07-24-0.8,0.07,24,0.80, 29,100, 67,1,0.321,10.23,FALSE,0.07-24-0.8,0.1642,0.4654,0.618,0.01552,0.608,-0.190, 3.84e-02,0.01541,0.0267,0.0269,0.00973,0.000637
0.16-36-0,0.16,36,0.00, 70,232,138,1,0.175,18.29,FALSE,0.16-36-0,0.2178,0.6602,0.875,0.00352,0.209,-0.191, 2.85e-01,0.00797,0.0198,0.0676,0.05567,0.000316
0.1-24-0.75,0.10,24,0.75, 36,114, 71,1,0.275,12.65,FALSE,0.1-24-0.75,0.1702,0.5387,0.714,0.01295,0.459,-0.191, 1.23e-01,0.01156,0.0254,0.0269,0.01271,0.000558
0.12-52-0.65,0.12,52,0.65, 96,392,242,1,0.178,17.28,FALSE,0.12-52-0.65,0.1498,0.7507,0.894,0.00346,0.307,-0.188, 4.21e-01,0.00745,0.0165,0.1257,0.12388,0.000182
0.1-16-0.65,0.10,16,0.65, 28, 72, 54,1,0.250,12.39,FALSE,0.1-16-0.65,0.1158,0.3752,0.477,0.02227,0.981,-0.175,-4.99e-02,0.02136,0.0302,0.0199,0.00777,0.000663
0.16-60-0.4,0.16,60,0.40,112,447,270,1,0.168,20.69,FALSE,0.16-60-0.4,0.1538,0.7310,0.885,0.00402,0.304,-0.188, 3.90e-01,0.00729,0.0185,0.1535,0.33795,0.000137
0.1-12-0.75,0.10,12,0.75, 21, 54, 39,1,0.321,11.05,FALSE,0.1-12-0.75,0.1231,0.3413,0.465,0.02199,1.040,-0.178,-7.77e-02,0.02472,0.0304,0.0135,0.00430,0.000747
0.08-16-0.7,0.08,16,0.70, 27, 72, 54,1,0.259,11.42,FALSE,0.08-16-0.7,0.1317,0.4474,0.556,0.02095,0.755,-0.182, 1.92e-02,0.02105,0.0276,0.0199,0.00736,0.000747
0.1-20-0.75,0.10,20,0.75, 28, 81, 58,1,0.273,10.54,FALSE,0.1-20-0.75,0.1647,0.4781,0.621,0.01640,0.582,-0.191, 5.23e-02,0.01509,0.0264,0.0219,0.00973,0.000637
0.14-32-0.8,0.14,32,0.80, 44,150, 85,1,0.259,10.20,FALSE,0.14-32-0.8,0.2066,0.6049,0.806,0.00992,0.276,-0.192, 2.08e-01,0.00995,0.0244,0.0539,0.02765,0.000362
0.09-24-0.5,0.09,24,0.50, 40,128, 81,1,0.253,15.29,FALSE,0.09-24-0.5,0.1799,0.6401,0.806,0.01037,0.304,-0.192, 2.57e-01,0.01137,0.0242,0.0269,0.01271,0.000558
0.08-24-0.75,0.08,24,0.75, 37,117, 72,1,0.266,13.56,FALSE,0.08-24-0.75,0.1772,0.6359,0.806,0.01010,0.314,-0.192, 2.51e-01,0.01031,0.0243,0.0269,0.01271,0.000558
0.06-52-0.8,0.06,52,0.80, 64,269,161,1,0.220, 9.55,FALSE,0.06-52-0.8,0.1770,0.7028,0.880,0.00440,0.267,-0.192, 3.48e-01,0.00820,0.0194,0.1257,0.05567,0.000316
0.16-48-0.25,0.16,48,0.25, 92,352,216,1,0.170,17.55,FALSE,0.16-48-0.25,0.1701,0.7284,0.899,0.00312,0.272,-0.191, 3.86e-01,0.00744,0.0165,0.1118,0.12388,0.000197
0.09-56-0.65,0.09,56,0.65,100,411,254,1,0.180,20.19,FALSE,0.09-56-0.65,0.1456,0.7475,0.887,0.00489,0.316,-0.186, 4.16e-01,0.00760,0.0174,0.1357,0.12388,0.000197
0.14-12-0.7,0.14,12,0.70, 24, 60, 45,1,0.250,10.91,FALSE,0.14-12-0.7,0.1175,0.3409,0.443,0.02328,1.063,-0.176,-7.80e-02,0.02651,0.0300,0.0135,0.00736,0.000747
0.12-56-0.85,0.12,56,0.85, 52,228,132,1,0.258,11.06,FALSE,0.12-56-0.85,0.1526,0.7257,0.871,0.00390,0.308,-0.188, 3.82e-01,0.00844,0.0195,0.1292,0.15658,0.000173
0.06-16-0.75,0.06,16,0.75, 26, 70, 52,1,0.274,10.49,FALSE,0.06-16-0.75,0.1331,0.4614,0.544,0.02249,0.720,-0.182, 3.41e-02,0.02109,0.0267,0.0199,0.00736,0.000747
0.12-16-0.75,0.12,16,0.75, 26, 67, 49,1,0.257,11.07,FALSE,0.12-16-0.75,0.1317,0.4071,0.511,0.02098,0.844,-0.182,-2.09e-02,0.02128,0.0280,0.0199,0.00736,0.000663
0.07-60-0,0.07,60,0.00,114,446,276,1,0.163,26.20,FALSE,0.07-60-0,0.1466,0.7624,0.913,0.00333,0.311,-0.187, 4.39e-01,0.00709,0.0152,0.1535,0.11194,0.000203
0.09-52-0.65,0.09,52,0.65, 97,393,240,1,0.177,19.22,FALSE,0.09-52-0.65,0.1503,0.7524,0.904,0.00385,0.305,-0.188, 4.23e-01,0.00730,0.0159,0.1257,0.11194,0.000221
0.06-24-0.65,0.06,24,0.65, 40,120, 83,1,0.256,19.41,FALSE,0.06-24-0.65,0.1481,0.5503,0.692,0.01494,0.507,-0.187, 1.38e-01,0.01442,0.0249,0.0269,0.00973,0.000639
0.09-52-0.4,0.09,52,0.40,100,404,247,1,0.173,20.07,FALSE,0.09-52-0.4,0.1602,0.7395,0.902,0.00416,0.288,-0.190, 4.03e-01,0.00740,0.0162,0.1257,0.11194,0.000221
0.05-56-0.6,0.05,56,0.60,101,357,219,1,0.169,22.58,FALSE,0.05-56-0.6,0.1693,0.7398,0.915,0.00325,0.271,-0.191, 4.04e-01,0.00656,0.0149,0.1292,0.04174,0.000316
0.14-48-0,0.14,48,0.00, 94,359,221,1,0.168,18.26,FALSE,0.14-48-0,0.1673,0.7315,0.900,0.00398,0.276,-0.191, 3.91e-01,0.00756,0.0162,0.1118,0.11194,0.000209
0.05-24-0.75,0.05,24,0.75, 37,114, 77,1,0.275,16.56,FALSE,0.05-24-0.75,0.1486,0.5540,0.697,0.01543,0.500,-0.187, 1.42e-01,0.01399,0.0247,0.0269,0.00973,0.000747
0.1-24-0.45,0.10,24,0.45, 41,127, 81,1,0.250,16.30,FALSE,0.1-24-0.45,0.1746,0.6102,0.770,0.01299,0.348,-0.192, 2.16e-01,0.01200,0.0239,0.0269,0.01271,0.000558
0.12-60-0.8,0.12,60,0.80, 77,345,209,1,0.205,10.57,FALSE,0.12-60-0.8,0.1477,0.7267,0.868,0.00517,0.319,-0.187, 3.84e-01,0.00871,0.0195,0.1481,0.24511,0.000147
0.16-48-0.8,0.16,48,0.80, 64,273,167,1,0.218,11.41,FALSE,0.16-48-0.8,0.1694,0.6976,0.871,0.00494,0.285,-0.191, 3.40e-01,0.00857,0.0206,0.1118,0.12388,0.000197
0.18-36-0.75,0.18,36,0.75, 61,217,128,1,0.192,14.84,FALSE,0.18-36-0.75,0.2118,0.6443,0.856,0.00440,0.230,-0.192, 2.63e-01,0.00780,0.0217,0.0676,0.05567,0.000284
0.06-24-0.75,0.06,24,0.75, 35,111, 75,1,0.285,14.08,FALSE,0.06-24-0.75,0.1461,0.5336,0.693,0.01507,0.541,-0.187, 1.17e-01,0.01323,0.0245,0.0269,0.00973,0.000639
0.05-56-0.8,0.05,56,0.80, 72,288,175,1,0.205,11.50,FALSE,0.05-56-0.8,0.1609,0.7089,0.862,0.00603,0.298,-0.190, 3.57e-01,0.00874,0.0200,0.1292,0.03993,0.000316
0.2-60-0.35,0.20,60,0.35,115,457,277,1,0.164,22.63,FALSE,0.2-60-0.35,0.1645,0.7165,0.879,0.00397,0.287,-0.191, 3.68e-01,0.00745,0.0183,0.1535,0.33795,0.000109
0.09-20-0.65,0.09,20,0.65, 30, 82, 64,1,0.252,12.45,FALSE,0.09-20-0.65,0.1397,0.3919,0.533,0.01507,0.851,-0.185,-3.51e-02,0.01834,0.0265,0.0219,0.00973,0.000639
0.07-24-0.75,0.07,24,0.75, 36,114, 74,1,0.271,14.12,FALSE,0.07-24-0.75,0.1669,0.6205,0.773,0.01369,0.357,-0.191, 2.30e-01,0.01205,0.0233,0.0269,0.00973,0.000637
0.16-48-0.7,0.16,48,0.70, 86,341,208,1,0.177,14.58,FALSE,0.16-48-0.7,0.1652,0.7280,0.897,0.00338,0.281,-0.191, 3.86e-01,0.00749,0.0166,0.1118,0.12388,0.000197
0.16-52-0.65,0.16,52,0.65, 96,382,231,1,0.178,16.58,FALSE,0.16-52-0.65,0.1560,0.7413,0.891,0.00337,0.296,-0.189, 4.06e-01,0.00741,0.0160,0.1257,0.15658,0.000179
0.14-60-0.75,0.14,60,0.75, 98,408,244,1,0.181,15.51,FALSE,0.14-60-0.75,0.1614,0.7212,0.879,0.00415,0.291,-0.190, 3.75e-01,0.00739,0.0178,0.1481,0.30966,0.000147
0.08-24-0.55,0.08,24,0.55, 41,129, 81,1,0.247,16.26,FALSE,0.08-24-0.55,0.1830,0.6445,0.826,0.01003,0.293,-0.192, 2.63e-01,0.01051,0.0222,0.0269,0.01271,0.000558
0.07-24-0.65,0.07,24,0.65, 39,121, 80,1,0.252,16.99,FALSE,0.07-24-0.65,0.1746,0.5994,0.780,0.01402,0.361,-0.192, 2.01e-01,0.01237,0.0229,0.0269,0.00973,0.000637
0.16-52-0.7,0.16,52,0.70, 91,371,223,1,0.183,14.60,FALSE,0.16-52-0.7,0.1567,0.7299,0.881,0.00394,0.298,-0.189, 3.89e-01,0.00761,0.0172,0.1257,0.15658,0.000179
0.05-16-0.75,0.05,16,0.75, 25, 66, 50,1,0.265,10.46,FALSE,0.05-16-0.75,0.1399,0.4043,0.557,0.02219,0.821,-0.185,-2.36e-02,0.02039,0.0256,0.0199,0.00736,0.000876
0.2-36-0.65,0.20,36,0.65, 69,233,140,1,0.173,17.31,FALSE,0.2-36-0.65,0.1942,0.6659,0.857,0.00536,0.252,-0.193, 2.93e-01,0.00813,0.0207,0.0676,0.05567,0.000284
0.12-16-0,0.12,16,0.00, 29, 71, 53,1,0.225,13.86,FALSE,0.12-16-0,0.1303,0.3868,0.509,0.02194,0.898,-0.181,-3.97e-02,0.02160,0.0261,0.0199,0.00861,0.000663
0.06-60-0.5,0.06,60,0.50,111,439,275,1,0.169,27.10,FALSE,0.06-60-0.5,0.1442,0.7645,0.909,0.00328,0.316,-0.186, 4.42e-01,0.00690,0.0146,0.1535,0.09140,0.000244
0.07-24-0,0.07,24,0.00, 41,123, 82,1,0.239,18.94,FALSE,0.07-24-0,0.1610,0.5927,0.741,0.01378,0.407,-0.190, 1.92e-01,0.01293,0.0228,0.0269,0.00973,0.000637
0.07-24-0.6,0.07,24,0.60, 40,122, 81,1,0.245,17.96,FALSE,0.07-24-0.6,0.1674,0.5902,0.768,0.01383,0.392,-0.191, 1.89e-01,0.01244,0.0227,0.0269,0.00973,0.000637
0.06-60-0.55,0.06,60,0.55,110,435,271,1,0.171,26.13,FALSE,0.06-60-0.55,0.1488,0.7603,0.913,0.00346,0.307,-0.187, 4.36e-01,0.00683,0.0144,0.1535,0.09140,0.000244
0.06-52-0.75,0.06,52,0.75, 84,329,201,1,0.189,13.67,FALSE,0.06-52-0.75,0.1640,0.7303,0.899,0.00379,0.283,-0.190, 3.89e-01,0.00709,0.0159,0.1257,0.05567,0.000316
0.05-24-0.7,0.05,24,0.70, 38,117, 79,1,0.264,17.51,FALSE,0.05-24-0.7,0.1476,0.5681,0.698,0.01624,0.481,-0.187, 1.60e-01,0.01402,0.0227,0.0269,0.00973,0.000747
0.14-36-0.8,0.14,36,0.80, 48,171, 98,1,0.238,10.22,FALSE,0.14-36-0.8,0.1919,0.6305,0.824,0.00997,0.284,-0.193, 2.43e-01,0.00973,0.0218,0.0676,0.03993,0.000316
0.06-60-0.65,0.06,60,0.65,109,433,269,1,0.172,26.12,FALSE,0.06-60-0.65,0.1406,0.7695,0.907,0.00418,0.323,-0.185, 4.50e-01,0.00690,0.0138,0.1535,0.09140,0.000244
0.05-20-0.65,0.05,20,0.65, 32, 83, 64,1,0.248,15.73,FALSE,0.05-20-0.65,0.1265,0.4704,0.574,0.02227,0.725,-0.180, 4.38e-02,0.01941,0.0242,0.0219,0.00837,0.000847
0.1-52-0.7,0.10,52,0.70, 90,373,228,1,0.184,16.27,FALSE,0.1-52-0.7,0.1585,0.7343,0.891,0.00423,0.293,-0.189, 3.95e-01,0.00769,0.0162,0.1257,0.11194,0.000209
0.1-60-0.65,0.10,60,0.65,109,433,270,1,0.172,25.88,FALSE,0.1-60-0.65,0.1438,0.7480,0.886,0.00478,0.320,-0.186, 4.17e-01,0.00769,0.0162,0.1535,0.15658,0.000175
0.09-20-0.7,0.09,20,0.70, 29, 81, 63,1,0.260,11.49,FALSE,0.09-20-0.7,0.1441,0.4082,0.548,0.01673,0.797,-0.186,-1.99e-02,0.01823,0.0244,0.0219,0.00973,0.000639
0.12-16-0.7,0.12,16,0.70, 27, 69, 51,1,0.243,11.98,FALSE,0.12-16-0.7,0.1345,0.4085,0.545,0.01967,0.831,-0.183,-1.96e-02,0.02125,0.0244,0.0199,0.00736,0.000663
0.1-12-0.7,0.10,12,0.70, 23, 58, 43,1,0.288,12.07,FALSE,0.1-12-0.7,0.1073,0.3228,0.426,0.02422,1.153,-0.170,-9.15e-02,0.02530,0.0252,0.0135,0.00430,0.000747
0.06-20-0.75,0.06,20,0.75, 30, 83, 64,1,0.271,12.37,FALSE,0.06-20-0.75,0.1426,0.4630,0.602,0.01754,0.684,-0.186, 3.58e-02,0.01623,0.0236,0.0219,0.00973,0.000747
0.06-60-0.7,0.06,60,0.70,104,423,264,1,0.176,24.12,FALSE,0.06-60-0.7,0.1440,0.7524,0.904,0.00438,0.318,-0.186, 4.23e-01,0.00713,0.0153,0.1535,0.09140,0.000284
0.12-52-0.7,0.12,52,0.70, 91,382,235,1,0.183,15.31,FALSE,0.12-52-0.7,0.1524,0.7415,0.887,0.00460,0.303,-0.188, 4.07e-01,0.00745,0.0158,0.1257,0.12388,0.000182
0.05-28-0.65,0.05,28,0.65, 47,139, 90,1,0.241,20.96,FALSE,0.05-28-0.65,0.1534,0.5721,0.731,0.01466,0.458,-0.188, 1.65e-01,0.01306,0.0220,0.0384,0.01271,0.000663
0.09-52-0.7,0.09,52,0.70, 93,384,234,1,0.180,18.21,FALSE,0.09-52-0.7,0.1530,0.7499,0.900,0.00506,0.300,-0.188, 4.20e-01,0.00762,0.0146,0.1257,0.11194,0.000221
0.06-24-0.4,0.06,24,0.40, 42,122, 85,1,0.248,21.35,FALSE,0.06-24-0.4,0.1410,0.5464,0.680,0.01500,0.536,-0.185, 1.33e-01,0.01458,0.0220,0.0269,0.00973,0.000639
0.07-60-0.6,0.07,60,0.60,112,442,274,1,0.166,25.21,FALSE,0.07-60-0.6,0.1412,0.7677,0.909,0.00415,0.322,-0.185, 4.48e-01,0.00722,0.0133,0.1535,0.11194,0.000203
0.14-48-0.8,0.14,48,0.80, 65,275,168,1,0.217,11.33,FALSE,0.14-48-0.8,0.1771,0.6829,0.863,0.00554,0.277,-0.192, 3.18e-01,0.00886,0.0195,0.1118,0.11194,0.000209
0.12-52-0.4,0.12,52,0.40, 97,394,243,1,0.177,18.12,FALSE,0.12-52-0.4,0.1583,0.7353,0.899,0.00414,0.293,-0.189, 3.97e-01,0.00734,0.0154,0.1257,0.12388,0.000182
0.05-28-0,0.05,28,0.00, 50,142, 92,1,0.225,23.84,FALSE,0.05-28-0,0.1629,0.5991,0.762,0.01525,0.393,-0.190, 2.01e-01,0.01282,0.0212,0.0384,0.01271,0.000651
0.1-52-0.85,0.10,52,0.85, 44,197,116,1,0.279, 9.00,FALSE,0.1-52-0.85,0.1676,0.7056,0.872,0.00660,0.285,-0.191, 3.52e-01,0.00997,0.0177,0.1256,0.11194,0.000221
0.05-20-0.7,0.05,20,0.70, 31, 82, 63,1,0.256,14.78,FALSE,0.05-20-0.7,0.1297,0.4751,0.596,0.01956,0.704,-0.181, 4.90e-02,0.01901,0.0224,0.0219,0.00837,0.000847
0.2-60-0.75,0.20,60,0.75,100,421,256,1,0.179,15.73,FALSE,0.2-60-0.75,0.1592,0.7183,0.873,0.00393,0.297,-0.190, 3.71e-01,0.00733,0.0171,0.1535,0.30966,0.000114
0.08-56-0.7,0.08,56,0.70, 97,405,246,1,0.181,19.18,FALSE,0.08-56-0.7,0.1434,0.7457,0.889,0.00435,0.321,-0.186, 4.13e-01,0.00715,0.0158,0.1292,0.11194,0.000209
0.08-60-0.6,0.08,60,0.60,113,451,275,1,0.170,25.81,FALSE,0.08-60-0.6,0.1466,0.7480,0.894,0.00377,0.314,-0.187, 4.17e-01,0.00728,0.0148,0.1535,0.12646,0.000197
0.08-20-0,0.08,20,0.00, 34, 87, 68,1,0.225,16.22,FALSE,0.08-20-0,0.1385,0.4236,0.566,0.01810,0.782,-0.184,-4.94e-03,0.01689,0.0226,0.0219,0.00973,0.000639
0.09-52-0.8,0.09,52,0.80, 68,301,182,1,0.216,11.30,FALSE,0.09-52-0.8,0.1568,0.7015,0.857,0.00606,0.311,-0.189, 3.46e-01,0.00916,0.0194,0.1256,0.11194,0.000221
0.14-48-0.75,0.14,48,0.75, 84,335,203,1,0.182,12.55,FALSE,0.14-48-0.75,0.1713,0.7269,0.896,0.00401,0.270,-0.191, 3.84e-01,0.00752,0.0145,0.1118,0.11194,0.000209
0.06-24-0.5,0.06,24,0.50, 41,121, 84,1,0.250,20.37,FALSE,0.06-24-0.5,0.1490,0.5252,0.691,0.01558,0.546,-0.187, 1.07e-01,0.01437,0.0213,0.0269,0.00973,0.000639
0.05-20-0,0.05,20,0.00, 33, 84, 64,1,0.237,16.67,FALSE,0.05-20-0,0.1234,0.5028,0.614,0.02180,0.672,-0.178, 8.03e-02,0.01809,0.0219,0.0219,0.00837,0.000847
0.14-56-0.85,0.14,56,0.85, 52,221,124,1,0.252,11.10,FALSE,0.14-56-0.85,0.1712,0.6861,0.857,0.00668,0.288,-0.191, 3.23e-01,0.00915,0.0192,0.1292,0.15658,0.000173
0.06-16-0.65,0.06,16,0.65, 29, 74, 56,1,0.238,13.33,FALSE,0.06-16-0.65,0.1305,0.4073,0.532,0.02238,0.848,-0.181,-2.07e-02,0.02157,0.0225,0.0199,0.00777,0.000747
0.14-52-0.7,0.14,52,0.70, 93,379,229,1,0.181,16.30,FALSE,0.14-52-0.7,0.1601,0.7270,0.883,0.00439,0.292,-0.190, 3.84e-01,0.00756,0.0156,0.1257,0.13184,0.000182
0.08-60-0.4,0.08,60,0.40,117,461,282,1,0.165,27.59,FALSE,0.08-60-0.4,0.1432,0.7514,0.887,0.00458,0.320,-0.186, 4.22e-01,0.00743,0.0146,0.1535,0.12646,0.000182
0.09-60-0.5,0.09,60,0.50,111,449,279,1,0.170,24.03,FALSE,0.09-60-0.5,0.1506,0.7436,0.888,0.00405,0.306,-0.188, 4.10e-01,0.00779,0.0146,0.1535,0.13184,0.000179
0.1-60-0.4,0.10,60,0.40,112,445,277,1,0.169,25.76,FALSE,0.1-60-0.4,0.1438,0.7528,0.891,0.00403,0.318,-0.186, 4.24e-01,0.00760,0.0143,0.1535,0.15658,0.000175
0.07-52-0.8,0.07,52,0.80, 71,302,178,1,0.211,11.54,FALSE,0.07-52-0.8,0.1775,0.7148,0.892,0.00405,0.261,-0.192, 3.66e-01,0.00785,0.0149,0.1257,0.05730,0.000284
