,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,Accuracy_sd,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI
0.1-60-0.6,0.10,60,0.60,110,440,275,1,0.172,24.95,FALSE,0.1-60-0.6,0.1446,0.7492,0.896,0.00352,0.318,-0.186, 4.18e-01,0.00759,0.0146,0.1535,0.15658,0.000175
0.2-56-0.7,0.20,56,0.70, 98,396,241,1,0.178,18.60,FALSE,0.2-56-0.7,0.1593,0.7072,0.865,0.00435,0.302,-0.190, 3.54e-01,0.00789,0.0178,0.1314,0.24511,0.000137
0.18-48-0.8,0.18,48,0.80, 62,270,165,1,0.219,10.41,FALSE,0.18-48-0.8,0.1831,0.6708,0.860,0.00541,0.272,-0.192, 3.01e-01,0.00852,0.0190,0.1118,0.12388,0.000179
0.09-60-0.8,0.09,60,0.80, 75,333,204,1,0.206,11.37,FALSE,0.09-60-0.8,0.1530,0.7050,0.857,0.00607,0.318,-0.188, 3.51e-01,0.00918,0.0184,0.1481,0.12912,0.000179
0.2-48-0.7,0.20,48,0.70, 85,343,211,1,0.178,16.47,FALSE,0.2-48-0.7,0.1657,0.7118,0.889,0.00422,0.286,-0.191, 3.61e-01,0.00751,0.0165,0.1118,0.12388,0.000173
0.18-60-0.7,0.18,60,0.70,105,430,261,1,0.175,18.70,FALSE,0.18-60-0.7,0.1677,0.7142,0.876,0.00415,0.281,-0.191, 3.65e-01,0.00759,0.0159,0.1535,0.30966,0.000137
0.12-52-0.8,0.12,52,0.80, 69,311,189,1,0.219, 9.51,FALSE,0.12-52-0.8,0.1578,0.7030,0.867,0.00481,0.308,-0.189, 3.48e-01,0.00833,0.0179,0.1256,0.12388,0.000182
0.09-52-0.75,0.09,52,0.75, 88,369,223,1,0.188,16.23,FALSE,0.09-52-0.75,0.1549,0.7269,0.881,0.00494,0.303,-0.189, 3.84e-01,0.00790,0.0159,0.1257,0.11194,0.000221
0.06-20-0.5,0.06,20,0.50, 35, 89, 70,1,0.230,17.67,FALSE,0.06-20-0.5,0.1360,0.4286,0.580,0.01774,0.780,-0.183, 2.86e-05,0.01747,0.0213,0.0219,0.00973,0.000747
0.09-60-0.2,0.09,60,0.20,115,454,283,1,0.166,27.72,FALSE,0.09-60-0.2,0.1449,0.7462,0.889,0.00430,0.318,-0.186, 4.14e-01,0.00767,0.0146,0.1535,0.13184,0.000179
0.18-60-0.75,0.18,60,0.75, 98,414,252,1,0.183,14.76,FALSE,0.18-60-0.75,0.1635,0.7041,0.868,0.00429,0.295,-0.190, 3.50e-01,0.00756,0.0172,0.1535,0.30966,0.000137
0.08-60-0.85,0.08,60,0.85, 59,258,154,1,0.247,12.01,FALSE,0.08-60-0.85,0.1750,0.6835,0.858,0.00782,0.281,-0.192, 3.19e-01,0.00953,0.0179,0.1481,0.12646,0.000197
0.12-60-0.65,0.12,60,0.65,106,427,265,1,0.170,21.20,FALSE,0.12-60-0.65,0.1420,0.7321,0.871,0.00425,0.329,-0.185, 3.92e-01,0.00811,0.0165,0.1481,0.24511,0.000147
0.18-48-0.7,0.18,48,0.70, 85,337,205,1,0.180,15.54,FALSE,0.18-48-0.7,0.1772,0.7125,0.892,0.00394,0.263,-0.192, 3.62e-01,0.00744,0.0146,0.1118,0.12388,0.000179
0.16-52-0.25,0.16,52,0.25, 97,383,232,1,0.177,17.55,FALSE,0.16-52-0.25,0.1603,0.7359,0.895,0.00410,0.289,-0.190, 3.98e-01,0.00729,0.0137,0.1257,0.15658,0.000179
0.08-56-0.6,0.08,56,0.60,103,424,257,1,0.176,19.28,FALSE,0.08-56-0.6,0.1375,0.7601,0.897,0.00420,0.330,-0.184, 4.36e-01,0.00702,0.0134,0.1357,0.11194,0.000203
0.06-56-0.75,0.06,56,0.75, 90,370,224,1,0.183,15.47,FALSE,0.06-56-0.75,0.1616,0.7218,0.890,0.00385,0.291,-0.190, 3.76e-01,0.00708,0.0154,0.1292,0.08431,0.000284
0.07-60-0.7,0.07,60,0.70,107,431,268,1,0.170,24.17,FALSE,0.07-60-0.7,0.1404,0.7529,0.900,0.00432,0.325,-0.185, 4.24e-01,0.00750,0.0143,0.1535,0.11194,0.000203
0.09-56-0.7,0.09,56,0.70, 96,402,248,1,0.183,19.17,FALSE,0.09-56-0.7,0.1441,0.7355,0.878,0.00485,0.323,-0.186, 3.97e-01,0.00779,0.0159,0.1292,0.12388,0.000197
0.09-56-0.45,0.09,56,0.45,102,420,260,1,0.178,20.21,FALSE,0.09-56-0.45,0.1428,0.7412,0.880,0.00485,0.324,-0.186, 4.06e-01,0.00792,0.0153,0.1357,0.12388,0.000197
0.08-60-0.55,0.08,60,0.55,114,454,276,1,0.169,25.82,FALSE,0.08-60-0.55,0.1396,0.7472,0.887,0.00395,0.329,-0.185, 4.15e-01,0.00730,0.0148,0.1535,0.12646,0.000182
0.1-60-0.75,0.10,60,0.75, 95,395,242,1,0.184,17.26,FALSE,0.1-60-0.75,0.1450,0.7422,0.874,0.00486,0.319,-0.186, 4.08e-01,0.00825,0.0147,0.1481,0.15658,0.000175
0.2-52-0.75,0.20,52,0.75, 87,367,222,1,0.190,14.55,FALSE,0.2-52-0.75,0.1550,0.7230,0.875,0.00465,0.304,-0.189, 3.78e-01,0.00765,0.0159,0.1257,0.15658,0.000144
0.08-60-0.35,0.08,60,0.35,118,462,283,1,0.164,28.54,FALSE,0.08-60-0.35,0.1449,0.7460,0.885,0.00421,0.318,-0.186, 4.13e-01,0.00743,0.0145,0.1535,0.12646,0.000182
0.1-56-0.85,0.10,56,0.85, 46,210,127,1,0.274, 9.01,FALSE,0.1-56-0.85,0.1583,0.6958,0.852,0.00668,0.311,-0.189, 3.37e-01,0.01052,0.0179,0.1292,0.11194,0.000197
0.09-52-0.6,0.09,52,0.60, 98,401,245,1,0.176,18.29,FALSE,0.09-52-0.6,0.1495,0.7482,0.899,0.00392,0.308,-0.187, 4.17e-01,0.00742,0.0127,0.1257,0.11194,0.000221
0.08-56-0.8,0.08,56,0.80, 74,331,202,1,0.210,13.24,FALSE,0.08-56-0.8,0.1532,0.7071,0.860,0.00529,0.316,-0.188, 3.54e-01,0.00902,0.0175,0.1292,0.11194,0.000221
0.2-60-0.4,0.20,60,0.40,114,456,276,1,0.165,21.65,FALSE,0.2-60-0.4,0.1630,0.7096,0.873,0.00452,0.293,-0.190, 3.58e-01,0.00745,0.0164,0.1535,0.33795,0.000109
0.08-60-0.5,0.08,60,0.50,116,459,281,1,0.167,26.79,FALSE,0.08-60-0.5,0.1421,0.7506,0.885,0.00405,0.322,-0.185, 4.21e-01,0.00743,0.0142,0.1535,0.12646,0.000182
0.2-56-0.65,0.20,56,0.65,106,415,253,1,0.169,20.62,FALSE,0.2-56-0.65,0.1433,0.7219,0.863,0.00473,0.331,-0.186, 3.76e-01,0.00801,0.0170,0.1357,0.24511,0.000137
0.2-48-0.8,0.20,48,0.80, 64,283,177,1,0.213,10.43,FALSE,0.2-48-0.8,0.1692,0.6826,0.857,0.00539,0.295,-0.191, 3.18e-01,0.00867,0.0178,0.1118,0.12388,0.000173
0.14-52-0.65,0.14,52,0.65, 98,390,237,1,0.176,18.26,FALSE,0.14-52-0.65,0.1494,0.7288,0.878,0.00440,0.314,-0.187, 3.87e-01,0.00762,0.0158,0.1257,0.13184,0.000182
0.12-56-0.8,0.12,56,0.80, 75,338,205,1,0.208,10.52,FALSE,0.12-56-0.8,0.1472,0.7127,0.856,0.00546,0.327,-0.187, 3.62e-01,0.00854,0.0174,0.1292,0.15658,0.000173
0.05-28-0.2,0.05,28,0.20, 49,141, 92,1,0.230,22.88,FALSE,0.05-28-0.2,0.1575,0.5847,0.729,0.01535,0.428,-0.189, 1.82e-01,0.01346,0.0193,0.0384,0.01271,0.000651
0.14-52-0.8,0.14,52,0.80, 69,302,182,1,0.222,10.40,FALSE,0.14-52-0.8,0.1682,0.6802,0.858,0.00645,0.299,-0.191, 3.14e-01,0.00856,0.0178,0.1256,0.12826,0.000182
0.14-52-0.75,0.14,52,0.75, 89,365,218,1,0.188,13.52,FALSE,0.14-52-0.75,0.1600,0.7154,0.882,0.00409,0.297,-0.190, 3.67e-01,0.00751,0.0159,0.1257,0.13184,0.000182
0.09-60-0.3,0.09,60,0.30,114,453,282,1,0.166,26.75,FALSE,0.09-60-0.3,0.1451,0.7475,0.885,0.00482,0.317,-0.186, 4.16e-01,0.00791,0.0138,0.1535,0.13184,0.000179
0.16-60-0.65,0.16,60,0.65,111,445,270,1,0.169,19.72,FALSE,0.16-60-0.65,0.1565,0.7309,0.885,0.00398,0.298,-0.189, 3.90e-01,0.00720,0.0143,0.1535,0.30966,0.000137
0.08-56-0.4,0.08,56,0.40,106,431,263,1,0.173,21.07,FALSE,0.08-56-0.4,0.1408,0.7504,0.898,0.00440,0.325,-0.185, 4.20e-01,0.00702,0.0140,0.1357,0.11194,0.000203
0.18-60-0,0.18,60,0.00,115,452,276,1,0.165,23.62,FALSE,0.18-60-0,0.1568,0.7239,0.879,0.00420,0.300,-0.189, 3.79e-01,0.00736,0.0151,0.1535,0.33795,0.000137
0.06-20-0.65,0.06,20,0.65, 34, 88, 69,1,0.238,16.71,FALSE,0.06-20-0.65,0.1336,0.4314,0.578,0.01678,0.783,-0.183, 2.84e-03,0.01717,0.0204,0.0219,0.00973,0.000747
0.07-60-0.75,0.07,60,0.75, 97,402,246,1,0.178,17.43,FALSE,0.07-60-0.75,0.1466,0.7469,0.891,0.00455,0.314,-0.187, 4.15e-01,0.00751,0.0132,0.1481,0.11194,0.000203
0.12-52-0.75,0.12,52,0.75, 88,372,227,1,0.190,14.33,FALSE,0.12-52-0.75,0.1543,0.7252,0.883,0.00430,0.305,-0.189, 3.81e-01,0.00755,0.0153,0.1257,0.12388,0.000182
0.09-56-0.4,0.09,56,0.40,103,422,261,1,0.176,21.04,FALSE,0.09-56-0.4,0.1361,0.7356,0.875,0.00479,0.341,-0.183, 3.97e-01,0.00778,0.0160,0.1357,0.12388,0.000197
0.16-52-0.75,0.16,52,0.75, 88,361,217,1,0.189,12.66,FALSE,0.16-52-0.75,0.1516,0.7278,0.876,0.00493,0.310,-0.188, 3.85e-01,0.00773,0.0152,0.1257,0.15658,0.000179
0.1-60-0.45,0.10,60,0.45,111,443,276,1,0.171,24.96,FALSE,0.1-60-0.45,0.1431,0.7478,0.887,0.00490,0.321,-0.186, 4.16e-01,0.00769,0.0137,0.1535,0.15658,0.000175
0.14-52-0.25,0.14,52,0.25, 99,391,238,1,0.174,19.21,FALSE,0.14-52-0.25,0.1547,0.7253,0.880,0.00421,0.304,-0.189, 3.82e-01,0.00755,0.0149,0.1257,0.13184,0.000182
0.07-56-0.8,0.07,56,0.80, 72,305,180,1,0.209,12.50,FALSE,0.07-56-0.8,0.1703,0.7148,0.883,0.00415,0.276,-0.191, 3.66e-01,0.00807,0.0144,0.1257,0.08504,0.000284
0.06-60-0.8,0.06,60,0.80, 73,325,197,1,0.210,11.50,FALSE,0.06-60-0.8,0.1527,0.7307,0.882,0.00429,0.306,-0.188, 3.90e-01,0.00779,0.0145,0.1481,0.09140,0.000284
0.08-56-0.75,0.08,56,0.75, 93,393,239,1,0.188,18.16,FALSE,0.08-56-0.75,0.1493,0.7375,0.886,0.00422,0.311,-0.187, 4.00e-01,0.00756,0.0140,0.1292,0.11194,0.000209
0.06-60-0.75,0.06,60,0.75, 93,393,245,1,0.185,16.41,FALSE,0.06-60-0.75,0.1367,0.7506,0.887,0.00391,0.334,-0.184, 4.21e-01,0.00737,0.0136,0.1481,0.09140,0.000284
0.09-60-0.65,0.09,60,0.65,109,438,273,1,0.172,24.95,FALSE,0.09-60-0.65,0.1424,0.7427,0.881,0.00410,0.324,-0.185, 4.08e-01,0.00800,0.0141,0.1535,0.13184,0.000179
0.06-24-0.25,0.06,24,0.25, 43,123, 86,1,0.242,22.32,FALSE,0.06-24-0.25,0.1419,0.5161,0.673,0.01690,0.585,-0.185, 9.59e-02,0.01456,0.0190,0.0269,0.00973,0.000639
0.14-60-0.7,0.14,60,0.70,103,423,256,1,0.175,19.26,FALSE,0.14-60-0.7,0.1549,0.7169,0.879,0.00384,0.307,-0.189, 3.69e-01,0.00736,0.0154,0.1481,0.30966,0.000147
0.18-52-0.8,0.18,52,0.80, 69,312,190,1,0.218,10.48,FALSE,0.18-52-0.8,0.1527,0.6870,0.848,0.00553,0.331,-0.188, 3.24e-01,0.00910,0.0172,0.1256,0.15658,0.000157
0.08-60-0.75,0.08,60,0.75, 98,406,247,1,0.182,19.99,FALSE,0.08-60-0.75,0.1469,0.7280,0.872,0.00518,0.320,-0.187, 3.86e-01,0.00768,0.0150,0.1481,0.12646,0.000197
0.16-52-0.8,0.16,52,0.80, 68,300,181,1,0.223,10.47,FALSE,0.16-52-0.8,0.1582,0.6943,0.844,0.00610,0.312,-0.189, 3.35e-01,0.00860,0.0170,0.1256,0.15658,0.000179
0.18-52-0.75,0.18,52,0.75, 86,365,221,1,0.193,13.59,FALSE,0.18-52-0.75,0.1589,0.7100,0.868,0.00432,0.302,-0.190, 3.58e-01,0.00777,0.0158,0.1257,0.15658,0.000157
0.08-60-0.3,0.08,60,0.30,119,463,284,1,0.164,29.50,FALSE,0.08-60-0.3,0.1394,0.7497,0.886,0.00430,0.328,-0.185, 4.19e-01,0.00735,0.0122,0.1535,0.12646,0.000182
0.14-56-0.7,0.14,56,0.70, 97,399,244,1,0.178,18.23,FALSE,0.14-56-0.7,0.1440,0.7173,0.869,0.00518,0.332,-0.186, 3.69e-01,0.00776,0.0164,0.1292,0.15658,0.000173
0.16-56-0,0.16,56,0.00,104,408,249,1,0.171,21.50,FALSE,0.16-56-0,0.1346,0.7396,0.872,0.00432,0.343,-0.183, 4.04e-01,0.00767,0.0150,0.1357,0.24511,0.000156
0.09-56-0.2,0.09,56,0.20,104,423,262,1,0.175,21.99,FALSE,0.09-56-0.2,0.1458,0.7401,0.886,0.00448,0.318,-0.186, 4.04e-01,0.00778,0.0135,0.1357,0.12388,0.000197
0.09-60-0.4,0.09,60,0.40,113,452,281,1,0.168,25.80,FALSE,0.09-60-0.4,0.1465,0.7301,0.886,0.00483,0.320,-0.187, 3.89e-01,0.00782,0.0147,0.1535,0.13184,0.000179
0.09-60-0.45,0.09,60,0.45,112,450,280,1,0.169,25.00,FALSE,0.09-60-0.45,0.1429,0.7440,0.883,0.00473,0.323,-0.186, 4.10e-01,0.00809,0.0131,0.1535,0.13184,0.000179
0.09-56-0.6,0.09,56,0.60,101,419,259,1,0.179,19.25,FALSE,0.09-56-0.6,0.1380,0.7475,0.881,0.00422,0.332,-0.184, 4.16e-01,0.00787,0.0135,0.1357,0.12388,0.000197
0.16-60-0.8,0.16,60,0.80, 82,357,212,1,0.207,11.73,FALSE,0.16-60-0.8,0.1462,0.7049,0.860,0.00527,0.334,-0.187, 3.51e-01,0.00774,0.0168,0.1535,0.30966,0.000137
0.18-52-0.7,0.18,52,0.70, 93,381,230,1,0.184,17.54,FALSE,0.18-52-0.7,0.1582,0.7117,0.874,0.00391,0.302,-0.189, 3.61e-01,0.00778,0.0153,0.1257,0.15658,0.000157
0.2-56-0.8,0.20,56,0.80, 74,330,202,1,0.209, 9.64,FALSE,0.2-56-0.8,0.1540,0.6669,0.832,0.00717,0.344,-0.189, 2.95e-01,0.00894,0.0172,0.1292,0.24511,0.000137
0.09-56-0.75,0.09,56,0.75, 90,386,236,1,0.192,16.23,FALSE,0.09-56-0.75,0.1451,0.7222,0.872,0.00492,0.327,-0.186, 3.77e-01,0.00816,0.0158,0.1292,0.12388,0.000197
0.16-60-0.7,0.16,60,0.70,106,432,260,1,0.173,17.74,FALSE,0.16-60-0.7,0.1550,0.7142,0.876,0.00447,0.308,-0.189, 3.65e-01,0.00725,0.0153,0.1535,0.30966,0.000137
0.09-60-0.75,0.09,60,0.75, 95,399,245,1,0.184,17.25,FALSE,0.09-60-0.75,0.1410,0.7319,0.865,0.00538,0.331,-0.185, 3.92e-01,0.00836,0.0148,0.1481,0.13184,0.000179
0.14-60-0.25,0.14,60,0.25,109,437,267,1,0.169,22.18,FALSE,0.14-60-0.25,0.1522,0.7239,0.878,0.00332,0.310,-0.188, 3.79e-01,0.00751,0.0146,0.1481,0.30966,0.000147
0.14-60-0.65,0.14,60,0.65,108,436,266,1,0.170,21.22,FALSE,0.14-60-0.65,0.1494,0.7275,0.880,0.00362,0.314,-0.187, 3.85e-01,0.00728,0.0145,0.1481,0.30966,0.000147
0.1-56-0.8,0.10,56,0.80, 73,326,199,1,0.211,10.41,FALSE,0.1-56-0.8,0.1514,0.7060,0.857,0.00543,0.321,-0.188, 3.52e-01,0.00899,0.0162,0.1292,0.12646,0.000197
0.18-56-0.75,0.18,56,0.75, 88,372,226,1,0.189,14.57,FALSE,0.18-56-0.75,0.1503,0.7103,0.859,0.00372,0.321,-0.188, 3.59e-01,0.00796,0.0159,0.1292,0.24511,0.000142
0.08-60-0.8,0.08,60,0.80, 79,344,210,1,0.202,15.09,FALSE,0.08-60-0.8,0.1527,0.6922,0.839,0.00786,0.327,-0.188, 3.32e-01,0.00970,0.0165,0.1481,0.12646,0.000197
0.2-56-0.75,0.20,56,0.75, 94,388,236,1,0.182,15.66,FALSE,0.2-56-0.75,0.1527,0.7158,0.869,0.00441,0.313,-0.188, 3.67e-01,0.00768,0.0151,0.1314,0.24511,0.000137
0.18-60-0.65,0.18,60,0.65,112,448,274,1,0.168,20.69,FALSE,0.18-60-0.65,0.1570,0.7118,0.875,0.00346,0.305,-0.189, 3.61e-01,0.00744,0.0151,0.1535,0.30966,0.000137
0.1-52-0.8,0.10,52,0.80, 68,301,184,1,0.215,10.37,FALSE,0.1-52-0.8,0.1611,0.7026,0.861,0.00560,0.301,-0.190, 3.47e-01,0.00909,0.0155,0.1256,0.11194,0.000209
0.2-60-0.1,0.20,60,0.10,116,458,278,1,0.164,23.61,FALSE,0.2-60-0.1,0.1621,0.7156,0.879,0.00409,0.292,-0.190, 3.67e-01,0.00742,0.0141,0.1535,0.33795,0.000109
0.09-60-0.6,0.09,60,0.60,110,446,278,1,0.171,24.02,FALSE,0.09-60-0.6,0.1380,0.7420,0.883,0.00450,0.334,-0.184, 4.07e-01,0.00796,0.0137,0.1535,0.13184,0.000179
0.2-52-0.7,0.20,52,0.70, 91,375,227,1,0.185,17.50,FALSE,0.2-52-0.7,0.1511,0.7195,0.872,0.00427,0.314,-0.188, 3.73e-01,0.00789,0.0146,0.1257,0.15658,0.000144
0.1-56-0.7,0.10,56,0.70, 94,395,243,1,0.183,16.29,FALSE,0.1-56-0.7,0.1447,0.7241,0.866,0.00482,0.327,-0.186, 3.80e-01,0.00807,0.0146,0.1292,0.12646,0.000197
0.1-56-0.65,0.10,56,0.65,101,409,253,1,0.177,20.17,FALSE,0.1-56-0.65,0.1406,0.7345,0.874,0.00457,0.331,-0.185, 3.96e-01,0.00783,0.0137,0.1357,0.12646,0.000197
0.1-56-0.75,0.10,56,0.75, 91,385,235,1,0.190,15.31,FALSE,0.1-56-0.75,0.1434,0.7200,0.862,0.00487,0.332,-0.186, 3.74e-01,0.00827,0.0148,0.1292,0.12646,0.000197
0.2-56-0,0.20,56,0.00,108,417,255,1,0.168,22.57,FALSE,0.2-56-0,0.1476,0.7238,0.868,0.00490,0.320,-0.187, 3.79e-01,0.00782,0.0142,0.1357,0.24511,0.000137
0.12-56-0.7,0.12,56,0.70, 97,407,251,1,0.178,17.28,FALSE,0.12-56-0.7,0.1452,0.7216,0.873,0.00539,0.327,-0.186, 3.76e-01,0.00789,0.0147,0.1292,0.15658,0.000173
0.18-60-0.8,0.18,60,0.80, 81,362,220,1,0.205,10.73,FALSE,0.18-60-0.8,0.1600,0.6872,0.849,0.00501,0.313,-0.190, 3.24e-01,0.00850,0.0158,0.1535,0.30966,0.000137
0.12-60-0.25,0.12,60,0.25,108,430,267,1,0.168,22.98,FALSE,0.12-60-0.25,0.1416,0.7325,0.872,0.00455,0.330,-0.185, 3.93e-01,0.00806,0.0137,0.1481,0.24511,0.000147
0.2-60-0.65,0.20,60,0.65,112,450,275,1,0.166,20.68,FALSE,0.2-60-0.65,0.1556,0.7134,0.873,0.00435,0.307,-0.189, 3.64e-01,0.00741,0.0143,0.1535,0.30966,0.000114
0.16-56-0.75,0.16,56,0.75, 93,384,232,1,0.184,14.64,FALSE,0.16-56-0.75,0.1433,0.7258,0.864,0.00539,0.329,-0.186, 3.82e-01,0.00825,0.0142,0.1292,0.24511,0.000156
0.1-60-0.7,0.10,60,0.70,102,418,259,1,0.178,21.99,FALSE,0.1-60-0.7,0.1474,0.7270,0.881,0.00423,0.319,-0.187, 3.84e-01,0.00795,0.0131,0.1535,0.15658,0.000175
0.09-60-0.7,0.09,60,0.70,105,428,266,1,0.175,23.95,FALSE,0.09-60-0.7,0.1398,0.7305,0.873,0.00488,0.335,-0.185, 3.90e-01,0.00814,0.0138,0.1535,0.13184,0.000179
0.1-56-0.6,0.10,56,0.60,102,416,258,1,0.177,19.24,FALSE,0.1-56-0.6,0.1386,0.7304,0.878,0.00436,0.338,-0.184, 3.89e-01,0.00788,0.0141,0.1357,0.12646,0.000197
0.1-60-0.8,0.10,60,0.80, 76,335,206,1,0.204,11.39,FALSE,0.1-60-0.8,0.1486,0.7184,0.862,0.00470,0.320,-0.187, 3.71e-01,0.00903,0.0143,0.1481,0.15658,0.000175
0.14-56-0.65,0.14,56,0.65,102,410,252,1,0.174,20.19,FALSE,0.14-56-0.65,0.1435,0.7230,0.873,0.00502,0.330,-0.186, 3.78e-01,0.00803,0.0142,0.1357,0.15658,0.000173
0.14-56-0.75,0.14,56,0.75, 93,385,233,1,0.185,15.46,FALSE,0.14-56-0.75,0.1486,0.7225,0.866,0.00500,0.318,-0.187, 3.77e-01,0.00820,0.0130,0.1292,0.15658,0.000173
0.12-56-0.75,0.12,56,0.75, 94,397,243,1,0.184,16.29,FALSE,0.12-56-0.75,0.1388,0.7124,0.861,0.00573,0.347,-0.184, 3.62e-01,0.00832,0.0149,0.1292,0.15658,0.000173
0.2-52-0.8,0.20,52,0.80, 68,311,191,1,0.219, 9.51,FALSE,0.2-52-0.8,0.1537,0.6996,0.850,0.00687,0.319,-0.188, 3.43e-01,0.00927,0.0148,0.1256,0.15658,0.000144
0.09-56-0.8,0.09,56,0.80, 71,321,195,1,0.217,11.31,FALSE,0.09-56-0.8,0.1529,0.7099,0.860,0.00526,0.315,-0.188, 3.58e-01,0.00903,0.0140,0.1292,0.12388,0.000197
0.18-56-0.8,0.18,56,0.80, 71,320,194,1,0.215,10.50,FALSE,0.18-56-0.8,0.1453,0.6898,0.839,0.00632,0.347,-0.186, 3.28e-01,0.00900,0.0147,0.1292,0.24511,0.000142
0.14-56-0.8,0.14,56,0.80, 73,322,194,1,0.216,11.39,FALSE,0.14-56-0.8,0.1530,0.6952,0.849,0.00619,0.324,-0.188, 3.36e-01,0.00879,0.0146,0.1292,0.15658,0.000173
0.14-56-0,0.14,56,0.00,104,412,254,1,0.172,22.11,FALSE,0.14-56-0,0.1340,0.7330,0.868,0.00384,0.347,-0.183, 3.93e-01,0.00799,0.0131,0.1357,0.15658,0.000173
0.2-60-0.8,0.20,60,0.80, 81,366,224,1,0.203, 9.77,FALSE,0.2-60-0.8,0.1616,0.6924,0.851,0.00490,0.306,-0.190, 3.32e-01,0.00854,0.0144,0.1535,0.30966,0.000114
0.09-60-0.85,0.09,60,0.85, 49,219,130,1,0.253,10.00,FALSE,0.09-60-0.85,0.1563,0.6962,0.861,0.00619,0.316,-0.189, 3.38e-01,0.00989,0.0143,0.1475,0.12912,0.000182
0.12-60-0.7,0.12,60,0.70,101,416,257,1,0.175,19.24,FALSE,0.12-60-0.7,0.1366,0.7225,0.864,0.00475,0.347,-0.184, 3.77e-01,0.00804,0.0136,0.1481,0.24511,0.000147
0.2-60-0.7,0.20,60,0.70,104,429,261,1,0.174,18.67,FALSE,0.2-60-0.7,0.1563,0.7026,0.859,0.00458,0.312,-0.189, 3.47e-01,0.00775,0.0132,0.1535,0.30966,0.000114
0.2-56-0.3,0.20,56,0.30,107,416,254,1,0.168,21.59,FALSE,0.2-56-0.3,0.1471,0.7115,0.865,0.00497,0.328,-0.187, 3.61e-01,0.00800,0.0128,0.1357,0.24511,0.000137
