circuit.idx,flexibility
0.05-4-0.85,0.303276253352952
0.05-4-0.75,0.173140200081647
0.05-8-0.75,0.0993774681472818
0.05-8-0.65,0.0909184370970935
0.05-12-0.85,0.106341183641274
0.05-12-0.8,0.101032456689091
0.05-12-0.75,0.032094781500756
0.05-12-0,0.0316365160748119
0.05-16-0.8,0.074067644585875
0.05-16-0.75,0.0256070124827729
0.05-20-0.7,0.0223735444464478
0.05-20-0.65,0.0242287952659238
0.05-20-0,0.0219056632728802
0.05-24-0.85,0.0373780007782059
0.05-24-0.8,0.0308217724952133
0.05-24-0.75,0.0247167001331582
0.05-24-0.7,0.0227276986975565
0.05-28-0.65,0.0220173356485622
0.05-28-0.2,0.0193253726271172
0.05-28-0,0.0211956375806698
0.05-32-0.8,0.0270979034031309
0.05-32-0.7,0.0221854010289277
0.05-32-0.65,0.02209811167012
0.05-32-0.6,0.0236246386175539
0.05-32-0.2,0.0238687705977078
0.05-32-0,0.0203838061580695
0.05-36-0.85,0.0313928021976138
0.05-36-0.8,0.0247500779233819
0.05-36-0.6,0.0208246570120117
0.05-36-0.2,0.0204387361502681
0.05-36-0,0.0203511763434246
0.05-40-0.8,0.0237683039639162
0.05-40-0.6,0.021971798189493
0.05-40-0.55,0.0189554812492572
0.05-40-0,0.0214964608587287
0.05-44-0.85,0.0270137508844986
0.05-44-0.7,0.0170362277039136
0.05-44-0.6,0.0176458191070793
0.05-44-0.55,0.0180930007281521
0.05-44-0,0.0176590471814132
0.05-48-0.85,0.0249625691734647
0.05-48-0.75,0.0225798250103074
0.05-48-0.55,0.0181528749842956
0.05-48-0,0.0183571636835948
0.05-52-0.85,0.0237551035658406
0.05-52-0.8,0.0207403565225385
0.05-52-0.75,0.0165195816371272
0.05-52-0.7,0.0170901720805412
0.05-52-0.6,0.0154028252756802
0.05-52-0.55,0.0168975550551978
0.05-52-0.2,0.0156121232701186
0.05-52-0,0.0161584119529685
0.05-56-0.8,0.0199782389994941
0.05-56-0.65,0.0175690429430878
0.05-56-0.6,0.0149398029696655
0.05-56-0.55,0.0176090823830756
0.05-56-0.2,0.0158062247479638
0.05-56-0,0.0164396951099269
0.05-60-0.85,0.0248672646931927
0.05-60-0.7,0.018625135091843
0.05-60-0.6,0.0147390355840073
0.05-60-0.55,0.0151038048021053
0.05-60-0.2,0.0157656741497422
0.05-60-0,0.015661588474864
0.06-12-0.8,0.099732811476826
0.06-16-0.8,0.0826787871029447
0.06-16-0.75,0.0266750733644696
0.06-16-0.65,0.0224660972051281
0.06-20-0.8,0.0680777508187912
0.06-20-0.75,0.0235997935544618
0.06-20-0.65,0.0203508542459352
0.06-20-0.5,0.0212897579031475
0.06-24-0.8,0.0361504446708005
0.06-24-0.75,0.0244897995916845
0.06-24-0.7,0.0262051205667477
0.06-24-0.65,0.0249237861527961
0.06-24-0.5,0.0213275848415357
0.06-24-0.4,0.0220132854110407
0.06-24-0.25,0.0190404849878197
0.06-28-0.85,0.0419495174572405
0.06-28-0.8,0.0341316373534926
0.06-28-0.75,0.0228346286510723
0.06-28-0.65,0.0238728961422637
0.06-28-0.4,0.0259222198624511
0.06-32-0.8,0.0254091160691247
0.06-32-0.4,0.0210905917099603
0.06-32-0.25,0.0246317037942386
0.06-36-0.75,0.0215496735785821
0.06-36-0.65,0.02397125083876
0.06-36-0.25,0.0209799116259116
0.06-40-0.8,0.0203284056148944
0.06-40-0.65,0.0200671305007457
0.06-40-0.55,0.0173882755669174
0.06-40-0.3,0.0181134380605619
0.06-44-0.75,0.0165656438786047
0.06-44-0.7,0.0164708892567726
0.06-44-0.65,0.0165331052673139
0.06-44-0.55,0.0161794476789124
0.06-44-0.3,0.0179384108108872
0.06-48-0.8,0.0192636677357399
0.06-48-0.75,0.0167444010154057
0.06-48-0.7,0.0175679723381149
0.06-48-0.65,0.0180694695239394
0.06-48-0.55,0.0165238632992938
0.06-52-0.85,0.0229923348439289
0.06-52-0.8,0.0193852821655558
0.06-52-0.75,0.0159390176581359
0.06-52-0.7,0.016787380296714
0.06-56-0.85,0.0250911816944395
0.06-56-0.8,0.0205208365813636
0.06-56-0.75,0.0153825423262782
0.06-56-0.7,0.0168614683429835
0.06-60-0.85,0.0203135131572238
0.06-60-0.8,0.0144803702516395
0.06-60-0.75,0.0135546031078229
0.06-60-0.7,0.0153378316803612
0.06-60-0.65,0.0137762477363406
0.06-60-0.55,0.0143871219076898
0.06-60-0.5,0.0145699587386054
0.06-60-0.3,0.0157944621004227
0.07-12-0.85,0.105523404283546
0.07-12-0.8,0.0932339466010208
0.07-20-0.8,0.0729593660675119
0.07-24-0.8,0.0266582421920829
0.07-24-0.75,0.0233279489917966
0.07-24-0.65,0.0229224373786767
0.07-24-0.6,0.0227021626375185
0.07-24-0,0.0228405705246435
0.07-28-0.85,0.0345300780967439
0.07-28-0.8,0.0294909764951295
0.07-32-0.75,0.0279914996014251
0.07-32-0,0.0274568770446423
0.07-36-0.85,0.0312901293376296
0.07-36-0.8,0.0260995015176327
0.07-36-0.75,0.0231949261816894
0.07-36-0.7,0.0191308738505807
0.07-40-0.85,0.0308978746971515
0.07-40-0.8,0.0223841633487041
0.07-40-0.7,0.0199110945294957
0.07-40-0,0.0193026620391881
0.07-44-0.85,0.0298421115194556
0.07-44-0.8,0.018228760370547
0.07-44-0.75,0.0182525992934971
0.07-44-0.7,0.0179629488557601
0.07-44-0.6,0.0174496200700445
0.07-44-0,0.0194430776644554
0.07-48-0.8,0.0169916870001297
0.07-48-0.75,0.0185484032706524
0.07-48-0.65,0.0170093158433251
0.07-48-0.6,0.0171099212645424
0.07-48-0,0.0168108806609955
0.07-52-0.85,0.0186804580972121
0.07-52-0.8,0.014898509172182
0.07-52-0.75,0.0166937715927425
0.07-52-0.6,0.0159311106337688
0.07-52-0.4,0.0175525388993678
0.07-52-0,0.018348226071126
0.07-56-0.8,0.0144061016558246
0.07-56-0.7,0.0162580434588759
0.07-56-0.6,0.0184709346869294
0.07-56-0.4,0.0168593931958498
0.07-56-0,0.0184071100281873
0.07-60-0.85,0.0224612876371311
0.07-60-0.75,0.0131760628767325
0.07-60-0.7,0.0142605577223554
0.07-60-0.65,0.0150647299218779
0.07-60-0.6,0.0133397206013364
0.07-60-0,0.01520795317241
0.08-12-0.65,0.0567516691666829
0.08-16-0.85,0.101067382802098
0.08-16-0.8,0.0784951349549374
0.08-16-0.7,0.0276473429880021
0.08-20-0.8,0.0560022594422206
0.08-20-0,0.022553641208352
0.08-24-0.85,0.0340918285851964
0.08-24-0.8,0.0313471558779357
0.08-24-0.75,0.0242619787079957
0.08-24-0.7,0.0277278083731102
0.08-24-0.65,0.0276646449415804
0.08-24-0.55,0.0221660220004452
0.08-28-0.85,0.0319601901779685
0.08-28-0.8,0.0249931823885437
0.08-28-0.7,0.0221504776834812
0.08-28-0.55,0.0269610325288713
0.08-32-0.55,0.0219207591322495
0.08-32-0.4,0.0249953468489089
0.08-32-0.3,0.0223667182039913
0.08-36-0.85,0.0302114994991019
0.08-36-0.7,0.0212805911691465
0.08-36-0.3,0.0203571832796625
0.08-40-0.85,0.0254938227314413
0.08-40-0.8,0.0223383884553647
0.08-40-0.7,0.0176907544501314
0.08-40-0.6,0.0177614024290994
0.08-40-0.5,0.0166030871302372
0.08-40-0.3,0.0195059381053578
0.08-44-0.85,0.024724288257351
0.08-44-0.8,0.0200002753100254
0.08-44-0.75,0.017776002446595
0.08-44-0.7,0.0160953911303177
0.08-44-0.65,0.0202338821370356
0.08-44-0.6,0.0183519047072231
0.08-44-0.5,0.0163548140098338
0.08-48-0.85,0.0211422239409274
0.08-48-0.8,0.0208757160492511
0.08-52-0.85,0.0216375580177016
0.08-52-0.8,0.0200960763870104
0.08-56-0.85,0.0197642542792461
0.08-56-0.8,0.0175381362197308
0.08-56-0.75,0.0139761387374368
0.08-56-0.7,0.015831073416632
0.08-56-0.6,0.0133929103472435
0.08-56-0.4,0.0140102310475701
0.08-60-0.85,0.0179336311054854
0.08-60-0.8,0.0164953463021958
0.08-60-0.75,0.0150085598011924
0.08-60-0.6,0.0148374331929393
0.08-60-0.55,0.014797522756057
0.08-60-0.5,0.0141518356122978
0.08-60-0.4,0.0145830373148527
0.08-60-0.35,0.0145087638220572
0.08-60-0.3,0.0122339066820483
0.09-16-0.8,0.086000723660262
0.09-20-0.8,0.0630698720234125
0.09-20-0.75,0.0469814614789147
0.09-20-0.7,0.0244118516251401
0.09-20-0.65,0.0264964097057188
0.09-20-0.5,0.0449991765045019
0.09-24-0.85,0.0385870897485025
0.09-24-0.8,0.0315341880756643
0.09-24-0.75,0.0278980880671606
0.09-24-0.5,0.0241813578306588
0.09-28-0.85,0.0312203073909171
0.09-28-0.8,0.0280846032516394
0.09-28-0.75,0.0265080235065282
0.09-28-0.7,0.0273648114271117
0.09-28-0.45,0.0228490167512473
0.09-32-0.85,0.0371818481021731
0.09-32-0.75,0.0240042316867955
0.09-32-0.7,0.0236751126729142
0.09-32-0.45,0.0221466447599836
0.09-36-0.8,0.0199297521079246
0.09-36-0.75,0.0235109531772925
0.09-36-0.7,0.0260726646688292
0.09-36-0.65,0.0202374614611436
0.09-40-0.8,0.0211551521617152
0.09-40-0.75,0.0193252649365778
0.09-40-0.7,0.0178388803595167
0.09-40-0.65,0.0196765674810802
0.09-44-0.8,0.0194058485240641
0.09-44-0.75,0.019966486674293
0.09-44-0.45,0.0180057492333013
0.09-48-0.8,0.0191011401498713
0.09-48-0.75,0.0191104977128523
0.09-48-0.7,0.0201084647581511
0.09-48-0.4,0.0174002078983409
0.09-48-0.2,0.0171918467251128
0.09-52-0.85,0.0282466506220149
0.09-52-0.8,0.0193830162488789
0.09-52-0.75,0.0158933947712827
0.09-52-0.7,0.0145625806459775
0.09-52-0.65,0.0159095620457943
0.09-52-0.6,0.0127196351700604
0.09-52-0.4,0.0162381170395548
0.09-56-0.85,0.0208520030227603
0.09-56-0.8,0.0140354856818481
0.09-56-0.75,0.0158014598908117
0.09-56-0.7,0.0158831880554784
0.09-56-0.65,0.0173511027962205
0.09-56-0.6,0.013459002434032
0.09-56-0.45,0.0152639631296667
0.09-56-0.4,0.0159581351417484
0.09-56-0.2,0.0135149068667899
0.09-60-0.85,0.0142826365636209
0.09-60-0.8,0.0183650803742651
0.09-60-0.75,0.0147893617207433
0.09-60-0.7,0.013811323142929
0.09-60-0.65,0.0140736564286909
0.09-60-0.6,0.0136590606363043
0.09-60-0.5,0.0145979218034665
0.09-60-0.45,0.013069352994883
0.09-60-0.4,0.014691126580292
0.09-60-0.3,0.01382716295595
0.09-60-0.2,0.0146365511148757
0.1-12-0.85,0.122412336240289
0.1-12-0.8,0.0936444262570983
0.1-12-0.75,0.030353648792587
0.1-12-0.7,0.025217982453829
0.1-16-0.8,0.0545442565744273
0.1-16-0.65,0.0301825767269998
0.1-20-0.8,0.0527291589249637
0.1-20-0.75,0.0264222574177608
0.1-24-0.85,0.044690687918283
0.1-24-0.8,0.0349162964142182
0.1-24-0.75,0.025441252515744
0.1-24-0.7,0.0284524243325171
0.1-24-0.45,0.0238724387066907
0.1-28-0.85,0.0385982803456665
0.1-28-0.75,0.0249625857224476
0.1-28-0.65,0.0219390316079373
0.1-32-0.85,0.0405055562695918
0.1-32-0.8,0.0296045628506351
0.1-32-0.65,0.020190813305366
0.1-32-0.45,0.0224804707686182
0.1-36-0.8,0.0250880196246049
0.1-36-0.75,0.021899610550687
0.1-36-0.7,0.0207460150753718
0.1-40-0.8,0.0207996205718112
0.1-40-0.2,0.0204497790523836
0.1-44-0.75,0.0206252839033174
0.1-44-0.7,0.0205708095345094
0.1-48-0.8,0.0193788735950589
0.1-48-0.75,0.0210317923092774
0.1-48-0.7,0.0197079256304218
0.1-48-0.65,0.02006107272871
0.1-52-0.85,0.0177268365162937
0.1-52-0.8,0.0154766634496386
0.1-52-0.75,0.0175190868354656
0.1-52-0.7,0.016172026236095
0.1-52-0.65,0.0176841727084304
0.1-56-0.85,0.0178936259402195
0.1-56-0.8,0.0162029976881921
0.1-56-0.75,0.01484347507627
0.1-56-0.7,0.0146461877934648
0.1-56-0.65,0.0136970550499435
0.1-56-0.6,0.0140645710401702
0.1-60-0.8,0.0143309203940166
0.1-60-0.75,0.0146976207865155
0.1-60-0.7,0.0130708904065894
0.1-60-0.65,0.0162081791066925
0.1-60-0.6,0.0146116428875844
0.1-60-0.45,0.0137360154869932
0.1-60-0.4,0.0142832041611814
0.12-8-0,0.0924055488401915
0.12-12-0.85,0.148578127887931
0.12-12-0.75,0.0366908632709371
0.12-12-0.7,0.0316797857710689
0.12-16-0.8,0.0807497664554156
0.12-16-0.75,0.027983775960175
0.12-16-0.7,0.0244225969987664
0.12-16-0,0.026142010175902
0.12-20-0.8,0.0670535877112524
0.12-20-0.75,0.0318527031563954
0.12-24-0.8,0.033989600341594
0.12-24-0.75,0.0271481317484501
0.12-24-0.65,0.0294237255274127
0.12-24-0,0.0299305078296156
0.12-28-0.7,0.0256596294540562
0.12-32-0.8,0.0290374485789482
0.12-36-0.8,0.0223124865674815
0.12-36-0.7,0.0242991651949661
0.12-40-0.75,0.0215661543175729
0.12-40-0.7,0.019721523678024
0.12-40-0.65,0.0169545287186375
0.12-40-0,0.020669913799167
0.12-44-0.8,0.0207445005343632
0.12-44-0.65,0.0212195702661614
0.12-44-0.4,0.0194664746706369
0.12-48-0.8,0.0219261847722391
0.12-48-0.65,0.0163098314345126
0.12-52-0.85,0.0189617763565441
0.12-52-0.8,0.0178838072416542
0.12-52-0.75,0.0152659877227986
0.12-52-0.7,0.0157739477800804
0.12-52-0.65,0.0164648341774829
0.12-52-0.4,0.015385259727088
0.12-56-0.85,0.0194516979125414
0.12-56-0.8,0.0173657019271986
0.12-56-0.75,0.0148803344717562
0.12-56-0.7,0.0146639983643387
0.12-60-0.85,0.0209656213751615
0.12-60-0.8,0.0194899796410708
0.12-60-0.7,0.0136251232279431
0.12-60-0.65,0.0164756372143986
0.12-60-0.25,0.0137128234279271
0.14-4-0.8,0.225270864830512
0.14-4-0,0.190935402798047
0.14-8-0,0.0964113400886487
0.14-12-0.8,0.101254448936725
0.14-12-0.7,0.0299987547783101
0.14-16-0.8,0.0681813310480691
0.14-20-0.8,0.0723799956776868
0.14-20-0.75,0.0305313972168766
0.14-24-0.75,0.028739556151894
0.14-24-0.7,0.0310032413718228
0.14-28-0.8,0.0267287482835841
0.14-28-0,0.0247170638724436
0.14-32-0.8,0.0243623469519162
0.14-32-0.7,0.0244461470506678
0.14-36-0.8,0.0218417393574331
0.14-36-0.7,0.0228434029951617
0.14-36-0.4,0.0168170037162059
0.14-36-0,0.0203059989293335
0.14-40-0.8,0.0238369996079583
0.14-40-0.75,0.0205409679256698
0.14-40-0.7,0.0201947839348343
0.14-44-0.75,0.0193025824624139
0.14-44-0.7,0.0171271976002886
0.14-48-0.8,0.0194929313812896
0.14-48-0.75,0.0144978371556983
0.14-48-0.7,0.0174110128688549
0.14-48-0.65,0.0201954286029172
0.14-48-0,0.0162178054541602
0.14-52-0.85,0.0280687456882288
0.14-52-0.8,0.0177923580614566
0.14-52-0.75,0.0158831234786441
0.14-52-0.7,0.0156177950549226
0.14-52-0.65,0.0157656864690594
0.14-52-0.25,0.0149419332948487
0.14-56-0.85,0.0191569575661475
0.14-56-0.8,0.0146169563719058
0.14-56-0.75,0.0130450714684477
0.14-56-0.7,0.0163960321569357
0.14-56-0.65,0.0142162305674127
0.14-56-0,0.0131307603025505
0.14-60-0.85,0.0254424327849512
0.14-60-0.75,0.0177726030865532
0.14-60-0.7,0.0154283984754417
0.14-60-0.65,0.0144525095807259
0.14-60-0.25,0.0145770588616037
0.16-4-0.85,0.232846427651973
0.16-8-0.7,0.116630660154337
0.16-12-0.8,0.0893463488853894
0.16-16-0.8,0.069699586199405
0.16-16-0.75,0.0584265570095998
0.16-20-0.7,0.0357140927128862
0.16-20-0.4,0.0313678884133881
0.16-24-0.85,0.0536867370568881
0.16-24-0.8,0.0345510863055604
0.16-24-0.75,0.0310908214535377
0.16-28-0.85,0.0485613499884484
0.16-28-0.75,0.0264525682692309
0.16-32-0.8,0.0268977395304146
0.16-32-0.4,0.0210415047239375
0.16-32-0,0.0190694861399656
0.16-36-0.85,0.0325066721289932
0.16-36-0.8,0.0422352047086198
0.16-36-0.7,0.0245740543972227
0.16-36-0.65,0.019964108789901
0.16-36-0,0.0198032994586805
0.16-40-0.85,0.031265576267051
0.16-40-0.8,0.0223159711233296
0.16-40-0.65,0.0199585112803129
0.16-44-0.85,0.0279385602828139
0.16-44-0.8,0.0234992003087864
0.16-44-0.75,0.0167800862130715
0.16-44-0.7,0.0171334660966836
0.16-48-0.85,0.0243995420942679
0.16-48-0.8,0.0205897299965419
0.16-48-0.7,0.0166321782596743
0.16-48-0.65,0.0164218168319918
0.16-48-0.25,0.0165205550998894
0.16-52-0.85,0.0329857438126636
0.16-52-0.8,0.0169541602433247
0.16-52-0.75,0.0152221991311161
0.16-52-0.7,0.0171710822640425
0.16-52-0.65,0.0159776425828123
0.16-52-0.25,0.0137244216148566
0.16-56-0.85,0.0215496470295479
0.16-56-0.75,0.0141892787020615
0.16-56-0,0.0149773144844556
0.16-60-0.85,0.0251581072594693
0.16-60-0.8,0.0167937451367691
0.16-60-0.7,0.0153320486555948
0.16-60-0.65,0.0142656768762915
0.16-60-0.4,0.0185389513358431
0.18-12-0.8,0.084682491756479
0.18-16-0.8,0.083351108898326
0.18-16-0.75,0.0545220705083087
0.18-20-0.8,0.0442703051209965
0.18-20-0.4,0.0317256846489211
0.18-20-0,0.0296871182839662
0.18-24-0.8,0.0424631846821119
0.18-24-0.7,0.0286409237118551
0.18-24-0,0.0282970802405267
0.18-28-0.8,0.0289474409770793
0.18-28-0.75,0.0226994152757887
0.18-32-0.8,0.0257662824853258
0.18-36-0.8,0.037480030451901
0.18-36-0.75,0.0216844002163653
0.18-36-0,0.0220666735488893
0.18-40-0.8,0.0257932752468677
0.18-40-0.7,0.0191523539155284
0.18-40-0.65,0.0188320446690215
0.18-40-0,0.0214651520276063
0.18-44-0.8,0.022350127740081
0.18-44-0.7,0.0166394802655772
0.18-44-0.65,0.0208223851486943
0.18-48-0.85,0.0366459673255336
0.18-48-0.8,0.0189802471218339
0.18-48-0.7,0.0146360138998508
0.18-48-0.65,0.017385386344466
0.18-48-0.3,0.0167169189913842
0.18-48-0,0.0157232152446535
0.18-52-0.85,0.0247970514339522
0.18-52-0.8,0.0171580503098591
0.18-52-0.75,0.0158067790881344
0.18-52-0.7,0.0152886387212876
0.18-52-0.3,0.0191427102237754
0.18-56-0.8,0.0147092206552498
0.18-56-0.75,0.0158635428773074
0.18-60-0.85,0.0257914301013699
0.18-60-0.8,0.0158378760426928
0.18-60-0.75,0.0172453082226096
0.18-60-0.7,0.0159010358468134
0.18-60-0.65,0.0151017004667003
0.18-60-0,0.0151061196048152
0.2-8-0,0.094979636068037
0.2-12-0.8,0.104729861448335
0.2-12-0.75,0.0693965893216698
0.2-12-0.7,0.0567997143239345
0.2-16-0.8,0.0742688958331812
0.2-16-0.7,0.035055017416229
0.2-16-0,0.0304711007548634
0.2-20-0.8,0.0426349515363085
0.2-20-0.7,0.0352144206214004
0.2-24-0.8,0.0358078794603272
0.2-24-0.75,0.0279502452845043
0.2-24-0.7,0.030386132654508
0.2-28-0.8,0.0315997407320349
0.2-28-0.75,0.0263251685722155
0.2-28-0.7,0.020633360270138
0.2-28-0.4,0.0209924175124063
0.2-32-0.8,0.0280945075395094
0.2-32-0.7,0.0231180651417411
0.2-32-0,0.0233428804567715
0.2-36-0.8,0.0401290076289072
0.2-36-0.65,0.0206707842652304
0.2-40-0.8,0.0250979630555744
0.2-40-0.75,0.020759862136126
0.2-40-0.7,0.0201494556468722
0.2-44-0.85,0.0264819603771414
0.2-44-0.7,0.0195111459501116
0.2-48-0.85,0.0383172866513681
0.2-48-0.8,0.0177857705602993
0.2-48-0.75,0.0170541332112204
0.2-48-0.7,0.0164683866704812
0.2-52-0.8,0.014750083168354
0.2-52-0.75,0.0159114483923107
0.2-52-0.7,0.0146233307066756
0.2-56-0.85,0.0248174949584187
0.2-56-0.8,0.0171501655565413
0.2-56-0.75,0.0151422216311042
0.2-56-0.7,0.0177665444761161
0.2-56-0.65,0.017046478015844
0.2-56-0.3,0.0128171348213885
0.2-56-0,0.0141982448569892
0.2-60-0.85,0.0264969193554126
0.2-60-0.8,0.0143899552190907
0.2-60-0.75,0.0171328313171933
0.2-60-0.7,0.0132320095271526
0.2-60-0.65,0.01425975143205
0.2-60-0.4,0.0164281719471143
0.2-60-0.35,0.0183334776243676
0.2-60-0.1,0.0140744524981264
