FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,tfCount.Netact,tfCount.MARINa,tfCount.RI
0.09,32,0.85,29,102,53,15,8,12
0.07,32,0.75,52,165,87,26,19,13
0.07,32,0,58,176,97,27,22,15
0.08,28,0.55,53,168,92,23,20,14
0.16,28,0.85,22,75,42,10,7,7
0.08,32,0.4,61,187,104,28,24,16
0.06,32,0.25,60,181,101,27,23,16
0.08,28,0.85,32,110,60,15,10,10
0.07,44,0.85,39,145,78,19,14,13
0.06,56,0.85,45,200,110,27,14,14
0.07,36,0.85,32,108,55,16,11,10
0.09,32,0.75,56,178,98,27,21,16
0.09,28,0.7,51,162,88,24,18,13
0.09,28,0.85,28,99,51,13,8,10
0.05,60,0.85,53,230,127,32,17,15
0.07,40,0.85,35,121,64,17,12,12
0.09,32,0.7,57,181,100,28,21,16
0.12,24,0.65,47,139,80,20,17,14
0.09,28,0.75,50,159,86,23,18,13
0.08,32,0.3,62,188,105,28,24,17
0.09,36,0.7,64,212,120,30,23,20
0.08,28,0.7,50,158,85,23,18,13
0.08,32,0.55,59,184,101,28,22,16
0.09,32,0.45,61,192,108,28,24,17
0.09,28,0.45,55,173,96,24,21,14
0.06,32,0.4,59,180,100,27,23,15
0.12,24,0,48,140,81,20,17,15
0.2,28,0.75,49,160,92,21,17,18
0.07,36,0.75,60,197,108,29,23,16
0.12,28,0.7,53,167,92,24,19,15
0.1,32,0.45,61,188,106,28,24,17
0.16,28,0.75,49,154,85,21,19,15
0.08,36,0.7,63,207,115,30,23,19
0.08,36,0.3,70,226,130,30,28,21
0.16,24,0.85,20,67,39,8,7,7
0.08,44,0.65,84,279,162,38,31,27
0.06,36,0.65,63,201,113,30,24,16
0.1,44,0.75,78,300,174,37,29,24
0.05,32,0.2,56,159,99,27,22,12
0.09,36,0.75,61,206,116,29,23,18
0.06,32,0.8,41,139,76,21,15,10
0.1,44,0.7,81,309,181,38,31,24
0.08,44,0.85,42,161,91,22,14,15
0.05,40,0,75,233,138,34,30,18
0.12,32,0.8,45,153,85,23,15,14
0.09,52,0.85,46,202,115,28,18,14
0.09,48,0.7,87,332,196,41,33,27
0.06,36,0.25,66,204,116,30,26,17
0.08,36,0.85,38,136,76,19,12,14
0.12,24,0.75,43,131,73,19,15,13
0.08,40,0.3,78,253,149,34,30,26
0.07,44,0,86,284,169,38,33,27
0.12,36,0.7,63,205,117,30,23,21
0.06,52,0.85,42,180,102,26,13,13
0.06,36,0.75,59,193,106,29,23,14
0.16,40,0.85,31,123,68,17,12,10
0.09,36,0.65,66,217,125,30,24,21
0.08,52,0.85,48,213,121,28,18,15
0.08,44,0.6,85,287,167,38,32,27
0.14,60,0.85,59,256,143,33,25,24
0.18,44,0.65,88,331,200,38,35,31
0.07,48,0.75,81,277,160,40,30,25
0.08,40,0.85,39,141,80,20,13,15
0.08,48,0.85,46,194,111,26,16,15
0.07,40,0.7,71,240,141,34,27,20
0.05,48,0,88,286,172,41,37,22
0.14,28,0,58,174,100,24,22,17
0.09,44,0.75,77,301,173,36,29,24
0.1,32,0.65,60,183,103,28,23,17
0.12,24,0.8,35,118,66,16,12,10
0.05,40,0.6,73,231,137,34,28,18
0.07,44,0.75,76,264,151,37,28,23
0.12,44,0.4,89,328,194,38,33,30
0.07,52,0,100,378,226,44,40,33
0.07,40,0,76,248,148,34,29,23
0.2,24,0.7,40,125,73,18,13,13
0.08,40,0.8,55,196,113,28,21,15
0.06,48,0.65,88,296,178,41,34,27
0.05,52,0.85,48,191,104,28,15,14
0.06,40,0.65,71,233,137,34,28,19
0.08,28,0.8,40,134,74,18,15,10
0.05,60,0.7,104,403,242,52,40,30
0.08,40,0.7,70,232,132,34,25,23
0.2,32,0,62,192,114,28,21,23
0.1,32,0.85,27,97,51,14,7,11
0.08,40,0.6,75,247,143,34,28,25
0.1,28,0.75,50,157,85,23,18,14
0.1,48,0.65,93,341,204,41,36,30
0.05,48,0.75,77,267,161,40,30,19
0.12,44,0.65,88,326,193,38,33,29
0.09,44,0.45,89,334,198,38,35,28
0.06,60,0.85,52,227,133,31,19,14
0.2,32,0.7,54,177,104,26,18,20
0.09,40,0.65,73,241,144,34,27,24
0.18,40,0,80,282,165,34,30,28
0.14,32,0.7,61,190,109,28,23,19
0.08,44,0.75,76,260,149,37,28,23
0.2,28,0.4,57,177,103,24,20,20
0.2,40,0.75,68,256,149,31,24,24
0.16,40,0.65,78,280,164,34,30,26
0.07,44,0.7,81,276,162,38,31,24
0.1,28,0.85,26,95,50,12,7,10
0.18,28,0.75,51,164,94,22,18,17
0.05,44,0.55,82,265,160,38,33,20
0.07,44,0.6,85,283,168,38,33,26
0.1,48,0.75,83,318,187,40,31,26
0.2,60,0.85,53,242,143,28,23,23
0.2,40,0.8,50,209,123,24,19,16
0.09,48,0.4,95,355,212,41,37,31
0.1,40,0.2,76,246,149,34,29,25
0.05,32,0,57,160,99,27,23,12
0.07,52,0.4,99,377,225,44,40,32
0.16,60,0.85,52,234,136,28,23,23
0.16,32,0.4,63,190,111,28,24,20
0.05,48,0.55,87,285,172,41,36,22
0.07,48,0,92,301,181,41,36,30
0.06,40,0.3,74,237,141,34,30,20
0.14,48,0.65,93,358,220,41,38,31
0.1,48,0.7,86,327,194,41,33,26
0.07,36,0.7,63,203,113,30,25,16
0.16,24,0.75,41,126,72,17,15,13
0.1,36,0.7,63,208,118,30,23,20
0.08,48,0.8,67,269,157,34,26,19
0.06,48,0.7,84,290,173,41,32,25
0.1,28,0.65,54,165,92,24,20,15
0.09,48,0.75,81,317,186,39,31,25
0.07,52,0.85,45,198,110,25,16,14
0.09,48,0.2,96,356,213,41,37,32
0.06,28,0.4,52,158,95,23,19,13
0.12,44,0.8,60,252,147,31,21,18
0.1,36,0.75,62,205,116,29,23,20
0.2,44,0.7,80,313,188,36,31,29
0.06,44,0.3,87,289,175,38,34,26
0.18,24,0,49,141,82,21,17,15
0.2,28,0.7,50,163,94,22,17,18
0.09,28,0.8,39,130,71,20,12,10
0.05,32,0.65,53,156,96,27,20,11
0.05,36,0,67,196,113,29,28,16
0.18,40,0.8,51,214,126,24,19,17
0.09,40,0.75,66,224,130,33,25,20
0.09,40,0.7,70,235,138,34,26,22
0.07,48,0.6,91,300,180,41,36,29
0.07,60,0.85,53,229,135,30,22,15
0.16,52,0.85,44,194,112,26,19,17
0.2,40,0.7,71,263,153,32,25,25
0.07,56,0.6,104,400,239,46,42,34
0.14,24,0.7,45,135,77,20,16,13
0.16,40,0.8,55,223,130,25,22,18
0.18,60,0.85,52,239,139,29,23,22
0.07,56,0,106,404,241,46,42,36
0.05,56,0.55,102,358,220,46,42,31
0.08,44,0.5,87,292,172,38,34,27
0.2,24,0.75,39,122,71,17,13,13
0.05,44,0,83,266,160,38,34,20
0.14,40,0.75,70,261,151,33,26,23
0.07,48,0.65,90,298,178,41,35,29
0.06,40,0.55,72,234,138,34,29,19
0.07,52,0.75,87,349,203,43,33,27
0.08,40,0.5,77,252,148,34,30,25
0.08,44,0.7,80,272,156,38,29,25
0.18,40,0.65,79,281,164,34,30,27
0.14,40,0.7,74,273,160,34,28,24
0.05,44,0.6,81,264,159,38,32,20
0.12,48,0.8,64,271,164,34,25,19
0.05,40,0.55,74,232,138,34,29,18
0.16,44,0.8,60,255,154,28,25,19
0.06,48,0.55,89,298,180,41,35,27
0.12,40,0,79,272,168,34,30,27
0.05,52,0.7,89,327,198,44,35,25
0.07,40,0.8,55,199,116,27,22,14
0.12,36,0.8,48,171,96,25,16,15
0.05,32,0.6,55,158,98,27,21,12
0.08,44,0.8,61,225,132,31,23,16
0.1,36,0.8,49,174,101,24,18,14
0.05,56,0.65,98,353,215,46,39,30
0.16,36,0.8,49,186,109,22,19,16
0.18,48,0.85,40,170,99,23,17,14
0.16,36,0.85,28,105,57,15,10,10
0.1,32,0.8,44,146,83,22,16,12
0.2,48,0.85,41,175,104,23,17,15
0.12,40,0.75,69,251,150,33,26,22
0.05,44,0.85,42,147,77,24,13,10
0.06,28,0.85,23,81,44,11,6,7
0.07,36,0.8,50,172,97,24,20,12
0.06,44,0.55,85,286,172,38,33,25
0.06,28,0.65,50,156,93,23,17,13
0.2,24,0.8,30,104,62,13,11,9
0.2,36,0.8,45,179,107,21,17,14
0.18,24,0.8,31,107,64,13,11,10
0.07,56,0.4,105,403,240,46,42,35
0.06,48,0.75,79,276,165,40,29,24
0.06,52,0.7,91,346,211,44,36,28
0.05,36,0.6,65,194,112,29,26,16
0.05,44,0.7,76,257,152,38,29,18
0.09,40,0.8,50,182,105,27,17,15
0.06,44,0.7,80,278,165,38,30,23
0.12,60,0.85,57,253,148,33,23,22
0.05,56,0,104,360,221,46,44,32
0.05,52,0,97,338,208,44,40,28
0.14,36,0,69,218,129,30,27,23
0.07,52,0.6,98,374,224,44,40,31
0.18,36,0.8,47,185,111,21,17,16
0.05,48,0.85,44,156,84,26,14,12
0.06,48,0.8,60,226,134,34,23,14
0.16,32,0,64,191,112,28,24,21
0.07,28,0.85,25,85,46,12,7,7
0.09,44,0.8,60,250,145,30,21,19
0.18,24,0.7,44,133,76,20,15,13
0.14,40,0.8,56,222,128,27,21,18
0.05,32,0.7,51,152,92,27,19,10
0.16,24,0.8,33,111,64,14,12,10
0.2,28,0.8,37,132,76,17,13,11
0.05,40,0.8,54,189,109,28,22,11
0.14,36,0.7,65,211,122,30,25,21
0.1,52,0.65,97,387,238,44,40,32
0.16,44,0.85,36,152,88,20,15,11
0.05,52,0.55,95,336,207,44,39,27
0.05,60,0.55,110,412,251,52,44,32
0.14,24,0.75,44,132,75,19,16,13
0.06,44,0.75,76,268,160,37,28,22
0.12,20,0.8,24,80,53,10,8,8
0.06,44,0.65,84,284,170,38,32,25
0.09,24,0.85,22,79,46,11,5,8
0.08,52,0.8,69,293,171,37,28,19
0.16,44,0.7,83,323,194,38,33,26
0.05,60,0.2,111,413,252,52,45,33
0.05,52,0.2,96,337,208,44,39,28
0.16,44,0.75,78,308,183,35,32,25
0.2,16,0.8,17,55,39,8,7,4
0.05,36,0.2,66,195,113,29,27,16
0.14,44,0.75,80,313,186,37,31,25
0.05,36,0.85,32,113,60,18,10,8
0.06,28,0.8,31,114,70,15,10,8
0.14,52,0.85,45,196,109,27,19,18
0.2,44,0.85,37,155,89,20,15,13
0.05,56,0.2,103,359,221,46,43,32
0.05,60,0,112,414,252,52,46,33
0.18,28,0.8,39,137,79,17,13,13
0.1,24,0.85,21,76,45,10,5,8
0.08,24,0.85,25,89,55,12,7,8
0.05,60,0.6,109,411,250,52,43,32
0.18,52,0.85,48,219,129,26,20,19
0.05,52,0.8,68,272,164,38,27,16
0.1,48,0.8,63,259,154,33,24,18
0.09,48,0.8,62,254,148,33,22,19
0.14,20,0.8,22,74,50,9,8,7
0.06,40,0.8,53,185,106,28,21,12
0.05,24,0.85,20,69,44,10,7,3
0.16,20,0.7,31,91,60,12,12,10
0.07,44,0.8,60,226,133,30,23,16
0.2,20,0.8,22,73,49,9,9,6
0.2,56,0.85,49,222,132,26,21,22
0.07,20,0.8,19,61,47,7,9,4
0.18,20,0.8,24,78,52,9,9,8
0.2,20,0.7,29,86,58,12,11,9
0.2,32,0.8,39,143,85,19,14,13
0.2,16,0.7,25,71,51,11,8,8
0.18,48,0.65,92,352,215,41,38,34
0.12,48,0.65,92,350,215,41,37,31
0.18,16,0.8,18,55,42,8,7,4
0.12,40,0.7,72,259,156,34,27,23
0.06,20,0.8,19,62,48,7,9,3
0.08,12,0.65,23,59,44,10,7,6
0.16,16,0.75,25,68,51,10,9,7
0.18,16,0.75,23,65,48,9,8,7
0.09,20,0.75,28,79,61,12,10,8
0.18,20,0.4,33,92,61,13,13,10
0.16,12,0.8,15,46,33,5,6,4
0.12,20,0.75,30,88,59,12,11,10
0.1,40,0.8,52,187,110,27,19,15
0.18,12,0.8,16,47,34,7,6,3
0.09,16,0.8,15,48,35,6,6,3
0.12,16,0.8,17,52,37,7,7,4
0.08,24,0.8,29,103,66,13,10,8
0.06,56,0.7,97,387,234,45,38,31
0.16,20,0.4,34,94,62,13,14,10
0.16,32,0.8,43,148,85,20,16,14
0.16,16,0.8,17,54,41,6,7,5
0.06,24,0.8,23,82,57,11,9,5
0.09,20,0.5,31,84,66,13,12,8
0.1,24,0.8,28,100,65,13,9,8
0.07,28,0.8,32,116,71,15,11,8
0.18,40,0.7,72,266,154,34,26,24
0.08,20,0.8,20,63,49,7,10,5
0.09,24,0.8,26,96,60,13,7,8
0.08,16,0.8,17,53,40,6,8,3
0.2,12,0.75,19,51,39,7,7,6
0.06,16,0.8,16,51,38,6,7,3
0.08,24,0.7,38,120,74,18,12,11
0.14,28,0.8,41,135,74,20,14,10
0.09,20,0.8,17,57,44,7,7,5
0.05,16,0.8,17,51,40,6,8,3
0.1,20,0.8,22,69,51,9,9,6
0.08,24,0.65,40,124,78,18,13,12
0.05,52,0.75,84,313,192,43,32,24
0.2,12,0.7,21,55,43,9,7,6
0.14,48,0.7,88,348,213,41,36,28
0.09,24,0.75,36,116,72,17,11,11
0.05,12,0,22,55,41,10,8,4
0.2,16,0,30,77,54,12,10,10
0.2,48,0.75,82,336,207,38,33,31
0.1,24,0.7,37,117,73,18,11,11
0.12,40,0.65,77,269,166,34,30,25
0.16,36,0.7,66,225,131,30,25,22
0.18,20,0,34,93,62,13,13,11
0.05,32,0.8,35,119,76,18,14,8
0.14,44,0.7,84,326,196,38,33,26
0.18,52,0.3,101,398,242,45,43,39
0.18,44,0.7,81,316,190,38,31,28
0.1,16,0.8,17,52,39,6,8,4
0.14,20,0.75,30,87,58,12,11,10
0.18,44,0.8,57,249,151,28,22,19
0.12,12,0.75,23,56,41,9,8,6
0.16,56,0.85,49,221,130,26,21,21
0.05,12,0.75,20,52,39,9,7,4
0.07,48,0.8,65,238,141,33,25,18
0.18,32,0.8,40,142,83,19,14,14
0.07,56,0.7,99,389,233,45,40,31
0.18,36,0,71,236,142,30,27,25
0.1,52,0.75,87,363,220,43,35,28
0.05,52,0.6,94,335,206,44,38,27
0.06,60,0.3,113,443,277,52,45,37
0.05,24,0.8,26,90,62,11,11,4
0.16,48,0.85,39,166,97,23,17,13
0.06,28,0.75,46,148,86,22,16,11
0.18,48,0.3,93,353,216,41,38,35
0.12,12,0.7,24,58,43,10,8,6
0.16,48,0.65,91,351,215,41,38,31
0.05,36,0.8,42,149,87,20,18,10
0.16,36,0.65,69,231,137,30,27,23
0.05,56,0.6,101,357,219,46,41,31
0.07,60,0,114,446,276,52,46,39
0.08,56,0.85,54,245,146,30,22,16
0.12,52,0.85,48,208,120,29,19,16
0.16,48,0.8,64,273,167,32,28,21
0.06,24,0.7,37,115,78,18,12,9
0.09,36,0.8,47,169,96,24,16,14
0.16,60,0.4,112,447,270,53,48,43
0.16,48,0.7,86,341,208,41,36,28
0.09,52,0.4,100,404,247,44,41,33
0.18,48,0,94,354,217,41,38,36
0.1,24,0.75,36,114,71,17,11,11
0.06,52,0.8,64,269,161,37,25,15
0.07,24,0.8,29,100,67,13,11,7
0.09,52,0.65,97,393,240,44,39,32
0.14,32,0.8,44,150,85,22,16,13
0.1,20,0.75,28,81,58,11,10,9
0.1,12,0.75,21,54,39,8,7,6
0.1,16,0.65,28,72,54,12,10,7
0.06,56,0.8,69,303,179,38,27,18
0.16,48,0.25,92,352,216,41,38,32
0.16,36,0,70,232,138,30,27,24
0.14,12,0.7,24,60,45,10,8,6
0.08,16,0.7,27,72,54,12,9,6
0.08,24,0.75,37,117,72,17,12,11
0.09,56,0.85,48,215,126,29,19,15
0.14,48,0,94,359,221,41,38,32
0.14,36,0.4,68,217,128,30,27,22
0.07,60,0.65,111,440,272,52,45,37
0.06,24,0.65,40,120,83,19,13,10
0.09,24,0.5,40,128,81,18,13,12
0.12,16,0.75,26,67,49,11,9,7
0.05,24,0.75,37,114,77,18,12,7
0.09,56,0.65,100,411,254,46,42,34
0.06,60,0.7,104,423,264,51,41,31
0.06,16,0.75,26,70,52,11,9,6
0.1,24,0.45,41,127,81,18,14,12
0.09,20,0.65,30,82,64,13,11,8
0.2,60,0.35,115,457,277,53,47,46
0.06,60,0.55,110,435,271,52,44,34
0.06,24,0.75,35,111,75,17,12,8
0.18,36,0.75,61,217,128,28,22,21
0.06,52,0.75,84,329,201,43,32,25
0.07,24,0.75,36,114,74,17,12,9
0.05,16,0.75,25,66,50,11,9,5
0.12,52,0.65,96,392,242,44,40,34
0.07,24,0.65,39,121,80,18,13,10
0.08,24,0.55,41,129,81,18,14,12
0.12,60,0.8,77,345,209,42,32,30
0.12,16,0,29,71,53,12,11,7
0.06,60,0.5,111,439,275,52,45,35
0.12,56,0.85,52,228,132,31,21,18
0.07,24,0,41,123,82,18,14,11
0.07,24,0.6,40,122,81,18,14,10
0.14,36,0.8,48,171,98,24,18,14
0.12,52,0.4,97,394,243,44,40,35
0.2,36,0.65,69,233,140,30,26,23
0.05,24,0.7,38,117,79,19,12,7
0.1,52,0.7,90,373,228,44,37,28
0.05,56,0.8,72,288,175,39,29,19
0.05,20,0.65,32,83,64,14,12,6
0.12,16,0.7,27,69,51,12,9,7
0.14,60,0.75,98,408,244,47,43,37
0.16,52,0.65,96,382,231,45,42,35
0.06,20,0.75,30,83,64,12,12,6
0.1,12,0.7,23,58,43,10,7,6
0.09,20,0.7,29,81,63,13,10,8
0.2,48,0.7,85,343,211,39,34,32
0.05,28,0.65,47,139,90,23,17,9
0.07,60,0.6,112,442,274,52,46,37
0.09,52,0.7,93,384,234,44,38,29
0.08,56,0.7,97,405,246,45,40,31
0.06,60,0.65,109,433,269,52,43,34
0.14,48,0.8,65,275,168,34,26,20
0.1,60,0.65,109,433,270,53,47,37
0.16,52,0.7,91,371,223,45,40,32
0.06,24,0.4,42,122,85,19,15,10
0.07,60,0.7,107,431,268,51,44,34
0.05,28,0,50,142,92,23,19,10
0.12,52,0.7,91,382,235,44,38,31
0.08,60,0.6,113,451,275,53,46,39
0.05,20,0.7,31,82,63,14,11,6
0.1,52,0.85,44,197,116,27,17,13
0.06,56,0.75,90,370,224,44,34,28
0.08,20,0,34,87,68,13,14,9
0.06,24,0.5,41,121,84,19,14,10
0.09,52,0.8,68,301,182,36,27,20
0.2,60,0.75,100,421,256,49,41,40
0.07,52,0.8,71,302,178,36,28,21
0.05,20,0,33,84,64,14,13,6
0.1,60,0.6,110,440,275,53,48,38
0.06,16,0.65,29,74,56,12,10,7
0.14,48,0.75,84,335,203,40,34,27
0.18,48,0.7,85,337,205,41,34,31
0.14,56,0.85,52,221,124,31,21,20
0.18,48,0.8,62,270,165,32,25,23
0.12,52,0.8,69,311,189,37,28,23
0.09,52,0.75,88,369,223,43,35,28
0.2,56,0.7,98,396,241,47,40,40
0.09,60,0.2,115,454,283,53,48,42
0.09,52,0.6,98,401,245,44,40,32
0.06,20,0.5,35,89,70,14,14,7
0.08,56,0.4,106,431,263,46,45,36
0.14,52,0.7,93,379,229,45,40,32
0.08,60,0.85,59,258,154,33,24,20
0.14,52,0.75,89,365,218,44,38,31
0.09,60,0.8,75,333,204,41,32,25
0.18,60,0.75,98,414,252,50,40,38
0.2,48,0.8,64,283,177,32,26,24
0.08,56,0.6,103,424,257,46,43,35
0.12,52,0.75,88,372,227,43,36,31
0.08,60,0.55,114,454,276,53,46,40
0.16,52,0.25,97,383,232,45,42,36
0.14,52,0.8,69,302,182,37,29,24
0.09,56,0.45,102,420,260,46,44,35
0.08,60,0.4,117,461,282,53,48,41
0.09,56,0.4,103,422,261,46,44,36
0.09,56,0.7,96,402,248,45,41,31
0.2,56,0.65,106,415,253,50,43,43
0.1,60,0.4,112,445,277,53,48,40
0.18,60,0.7,105,430,261,52,43,41
0.14,52,0.65,98,390,237,45,42,35
0.09,60,0.5,111,449,279,53,47,39
0.1,56,0.85,46,210,127,28,18,14
0.08,56,0.8,74,331,202,38,32,20
0.08,60,0.35,118,462,283,53,48,42
0.12,60,0.65,106,427,265,49,46,41
0.06,20,0.65,34,88,69,14,13,7
0.2,60,0.4,114,456,276,53,47,45
0.2,52,0.75,87,367,222,42,37,36
0.14,60,0.7,103,423,256,48,46,38
0.09,60,0.4,113,452,281,53,48,40
0.05,28,0.2,49,141,92,23,18,10
0.16,60,0.7,106,432,260,52,45,40
0.06,60,0.8,73,325,197,40,30,19
0.14,52,0.25,99,391,238,45,42,36
0.1,60,0.45,111,443,276,53,48,39
0.07,60,0.75,97,402,246,46,39,33
0.14,56,0.7,97,399,244,46,41,35
0.16,52,0.75,88,361,217,43,40,31
0.12,56,0.8,75,338,205,40,31,27
0.09,60,0.3,114,453,282,53,48,41
0.08,60,0.5,116,459,281,53,48,40
0.09,56,0.2,104,423,262,46,44,37
0.16,60,0.65,111,445,270,53,47,43
0.08,56,0.75,93,393,239,44,38,30
0.18,52,0.7,93,381,230,45,39,35
0.06,24,0.25,43,123,86,19,15,11
0.18,60,0,115,452,276,53,48,46
0.07,56,0.8,72,305,180,36,29,21
0.18,52,0.8,69,312,190,35,28,28
0.18,60,0.65,112,448,274,53,47,44
0.14,60,0.65,108,436,266,49,48,41
0.18,52,0.75,86,365,221,43,36,32
0.09,56,0.75,90,386,236,44,37,30
0.2,56,0.8,74,330,202,39,29,31
0.16,60,0.8,82,357,212,43,35,32
0.14,60,0.25,109,437,267,49,48,42
0.16,56,0,104,408,249,47,44,41
0.09,60,0.65,109,438,273,53,46,37
0.06,60,0.75,93,393,245,46,37,28
0.16,52,0.8,68,300,181,35,31,25
0.09,60,0.6,110,446,278,53,47,38
0.1,60,0.75,95,395,242,47,42,33
0.1,56,0.8,73,326,199,39,31,22
0.08,60,0.3,119,463,284,53,48,43
0.2,56,0.75,94,388,236,46,38,39
0.09,56,0.6,101,419,259,46,43,35
0.2,60,0.1,116,458,278,53,47,47
0.1,60,0.7,102,418,259,52,44,33
0.08,60,0.8,79,344,210,41,34,24
0.08,60,0.75,98,406,247,47,40,34
0.2,52,0.7,91,375,227,43,39,37
0.1,56,0.6,102,416,258,47,44,35
0.18,56,0.75,88,372,226,44,37,36
0.09,60,0.45,112,450,280,53,48,39
0.1,52,0.8,68,301,184,36,28,20
0.12,56,0.7,97,407,251,46,42,35
0.2,60,0.65,112,450,275,53,46,44
0.09,60,0.75,95,399,245,47,41,33
0.12,56,0.75,94,397,243,45,40,35
0.18,60,0.8,81,362,220,43,32,33
0.1,56,0.65,101,409,253,47,43,34
0.1,56,0.7,94,395,243,46,40,30
0.14,56,0.65,102,410,252,47,43,38
0.09,60,0.7,105,428,266,52,45,34
0.12,60,0.25,108,430,267,49,46,43
0.1,56,0.75,91,385,235,45,38,30
0.2,56,0,108,417,255,50,43,45
0.1,60,0.8,76,335,206,41,34,25
0.09,60,0.85,49,219,130,30,21,16
0.2,52,0.8,68,311,191,35,28,28
0.16,56,0.75,93,384,232,44,41,35
0.14,56,0,104,412,254,47,43,40
0.18,56,0.8,71,320,194,37,29,31
0.09,56,0.8,71,321,195,38,29,22
0.14,56,0.8,73,322,194,39,30,27
0.14,56,0.75,93,385,233,45,39,34
0.12,60,0.7,101,416,257,48,44,38
0.2,56,0.3,107,416,254,50,43,44
0.2,60,0.8,81,366,224,43,32,32
0.2,60,0.7,104,429,261,50,43,41
